Species,Origin,Run,Year,Count
Chinook,Wild,Fall,1997,0
Chinook,Wild,Fall,1998,0
Chinook,Wild,Fall,1999,0
Chinook,Wild,Fall,2000,0
Chinook,Wild,Fall,2001,0
Chinook,Wild,Fall,2002,0
Chinook,Wild,Fall,2003,0
Chinook,Wild,Fall,2004,0
Chinook,Wild,Fall,2005,0
Chinook,Wild,Fall,2006,0
Chinook,Wild,Fall,2007,0
Chinook,Wild,Fall,2008,0
Chinook,Wild,Fall,2009,0
Chinook,Wild,Fall,2010,0
Chinook,Wild,Fall,2011,0
Chinook,Wild,Fall,2012,0
Chinook,Wild,Fall,2013,0
Chinook,Wild,Fall,2014,0
Chinook,Wild,Fall,2015,0
Chinook,Wild,Fall,2016,0
Chinook,Wild,Fall,2017,0
Chinook,Wild,Fall,2018,0
Chinook,Wild,Fall,2019,0
Chinook,Wild,Fall,2020,62
Chinook,Hatchery,Fall,1997,0
Chinook,Hatchery,Fall,1998,0
Chinook,Hatchery,Fall,1999,0
Chinook,Hatchery,Fall,2000,0
Chinook,Hatchery,Fall,2001,0
Chinook,Hatchery,Fall,2002,0
Chinook,Hatchery,Fall,2003,0
Chinook,Hatchery,Fall,2004,0
Chinook,Hatchery,Fall,2005,0
Chinook,Hatchery,Fall,2006,0
Chinook,Hatchery,Fall,2007,0
Chinook,Hatchery,Fall,2008,0
Chinook,Hatchery,Fall,2009,0
Chinook,Hatchery,Fall,2010,0
Chinook,Hatchery,Fall,2011,0
Chinook,Hatchery,Fall,2012,0
Chinook,Hatchery,Fall,2013,0
Chinook,Hatchery,Fall,2014,0
Chinook,Hatchery,Fall,2015,0
Chinook,Hatchery,Fall,2016,0
Chinook,Hatchery,Fall,2017,0
Chinook,Hatchery,Fall,2018,0
Chinook,Hatchery,Fall,2019,0
Chinook,Hatchery,Fall,2020,292
Coho,Wild,Type N,1997,0
Coho,Wild,Type N,1998,0
Coho,Wild,Type N,1999,0
Coho,Wild,Type N,2000,0
Coho,Wild,Type N,2001,0
Coho,Wild,Type N,2002,0
Coho,Wild,Type N,2003,0
Coho,Wild,Type N,2004,0
Coho,Wild,Type N,2005,0
Coho,Wild,Type N,2006,0
Coho,Wild,Type N,2007,0
Coho,Wild,Type N,2008,0
Coho,Wild,Type N,2009,0
Coho,Wild,Type N,2010,0
Coho,Wild,Type N,2011,0
Coho,Wild,Type N,2012,0
Coho,Wild,Type N,2013,0
Coho,Wild,Type N,2014,0
Coho,Wild,Type N,2015,0
Coho,Wild,Type N,2016,0
Coho,Wild,Type N,2017,0
Coho,Wild,Type N,2018,0
Coho,Wild,Type N,2019,0
Coho,Wild,Type N,2020,1091
Coho,Hatchery,Type S,1997,0
Coho,Hatchery,Type S,1998,0
Coho,Hatchery,Type S,1999,0
Coho,Hatchery,Type S,2000,0
Coho,Hatchery,Type S,2001,0
Coho,Hatchery,Type S,2002,0
Coho,Hatchery,Type S,2003,0
Coho,Hatchery,Type S,2004,0
Coho,Hatchery,Type S,2005,0
Coho,Hatchery,Type S,2006,0
Coho,Hatchery,Type S,2007,0
Coho,Hatchery,Type S,2008,0
Coho,Hatchery,Type S,2009,0
Coho,Hatchery,Type S,2010,0
Coho,Hatchery,Type S,2011,0
Coho,Hatchery,Type S,2012,0
Coho,Hatchery,Type S,2013,0
Coho,Hatchery,Type S,2014,0
Coho,Hatchery,Type S,2015,0
Coho,Hatchery,Type S,2016,0
Coho,Hatchery,Type S,2017,0
Coho,Hatchery,Type S,2018,0
Coho,Hatchery,Type S,2019,0
Coho,Hatchery,Type S,2020,1366
Chum,Unknown,nan,1997,0
Chum,Unknown,nan,1998,0
Chum,Unknown,nan,1999,0
Chum,Unknown,nan,2000,0
Chum,Unknown,nan,2001,0
Chum,Unknown,nan,2002,0
Chum,Unknown,nan,2003,0
Chum,Unknown,nan,2004,0
Chum,Unknown,nan,2005,0
Chum,Unknown,nan,2006,0
Chum,Unknown,nan,2007,0
Chum,Unknown,nan,2008,0
Chum,Unknown,nan,2009,0
Chum,Unknown,nan,2010,0
Chum,Unknown,nan,2011,0
Chum,Unknown,nan,2012,0
Chum,Unknown,nan,2013,0
Chum,Unknown,nan,2014,0
Chum,Unknown,nan,2015,0
Chum,Unknown,nan,2016,0
Chum,Unknown,nan,2017,0
Chum,Unknown,nan,2018,0
Chum,Unknown,nan,2019,0
Chum,Unknown,nan,2020,697
