Species,Origin,Run,Year,Count
Chinook,Hatchery,Fall,1997,10
Chinook,Hatchery,Fall,1998,21
Chinook,Hatchery,Fall,1999,0
Chinook,Hatchery,Fall,2000,0
Chinook,Hatchery,Fall,2001,0
Chinook,Hatchery,Fall,2002,0
Chinook,Hatchery,Fall,2003,0
Chinook,Hatchery,Fall,2004,0
Chinook,Hatchery,Fall,2005,0
Chinook,Hatchery,Fall,2006,0
Chinook,Hatchery,Fall,2007,0
Chinook,Hatchery,Fall,2008,0
Chinook,Hatchery,Fall,2009,0
Chinook,Hatchery,Fall,2010,4
Chinook,Hatchery,Fall,2011,14
Chinook,Hatchery,Fall,2012,21
Chinook,Hatchery,Fall,2013,4
Chinook,Hatchery,Fall,2014,81
Chinook,Hatchery,Fall,2015,143
Chinook,Hatchery,Fall,2016,5
Chinook,Hatchery,Fall,2017,14
Chinook,Hatchery,Fall,2018,34
Chinook,Hatchery,Fall,2019,37
Chinook,Hatchery,Fall,2020,38
Steelhead,Wild,Winter,1997,0
Steelhead,Wild,Winter,1998,120
Steelhead,Wild,Winter,1999,121
Steelhead,Wild,Winter,2000,53
Steelhead,Wild,Winter,2001,19
Steelhead,Wild,Winter,2002,0
Steelhead,Wild,Winter,2003,0
Steelhead,Wild,Winter,2004,0
Steelhead,Wild,Winter,2005,0
Steelhead,Wild,Winter,2006,0
Steelhead,Wild,Winter,2007,0
Steelhead,Wild,Winter,2008,0
Steelhead,Wild,Winter,2009,0
Steelhead,Wild,Winter,2010,0
Steelhead,Wild,Winter,2011,0
Steelhead,Wild,Winter,2012,0
Steelhead,Wild,Winter,2013,0
Steelhead,Wild,Winter,2014,0
Steelhead,Wild,Winter,2015,0
Steelhead,Wild,Winter,2016,0
Steelhead,Wild,Winter,2017,0
Steelhead,Wild,Winter,2018,0
Steelhead,Wild,Winter,2019,0
Steelhead,Wild,Winter,2020,0
Steelhead,Wild,Winter-Late,1997,0
Steelhead,Wild,Winter-Late,1998,0
Steelhead,Wild,Winter-Late,1999,0
Steelhead,Wild,Winter-Late,2000,0
Steelhead,Wild,Winter-Late,2001,0
Steelhead,Wild,Winter-Late,2002,0
Steelhead,Wild,Winter-Late,2003,0
Steelhead,Wild,Winter-Late,2004,0
Steelhead,Wild,Winter-Late,2005,0
Steelhead,Wild,Winter-Late,2006,0
Steelhead,Wild,Winter-Late,2007,0
Steelhead,Wild,Winter-Late,2008,0
Steelhead,Wild,Winter-Late,2009,0
Steelhead,Wild,Winter-Late,2010,0
Steelhead,Wild,Winter-Late,2011,26
Steelhead,Wild,Winter-Late,2012,11
Steelhead,Wild,Winter-Late,2013,14
Steelhead,Wild,Winter-Late,2014,12
