Species,Origin,Run,Year,Count
Chinook,Hatchery,Fall,1997,695
Chinook,Hatchery,Fall,1998,375
Chinook,Hatchery,Fall,1999,474
Chinook,Hatchery,Fall,2000,96
Chinook,Hatchery,Fall,2001,574
Chinook,Hatchery,Fall,2002,418
Chinook,Hatchery,Fall,2003,171
Chinook,Hatchery,Fall,2004,450
Chinook,Hatchery,Fall,2005,59
Chinook,Hatchery,Fall,2006,162
Chinook,Hatchery,Fall,2007,73
Chinook,Hatchery,Fall,2008,46
Chinook,Hatchery,Fall,2009,760
Chinook,Hatchery,Fall,2010,0
Chinook,Hatchery,Fall,2011,257
Chinook,Hatchery,Fall,2012,384
Chinook,Hatchery,Fall,2013,150
Chinook,Hatchery,Fall,2014,826
Chinook,Hatchery,Fall,2015,36
Chinook,Hatchery,Fall,2016,51
Chinook,Hatchery,Fall,2017,39
Chinook,Hatchery,Fall,2018,0
Chinook,Hatchery,Fall,2019,0
Chinook,Hatchery,Fall,2020,0
Steelhead,Hatchery,Summer,1997,0
Steelhead,Hatchery,Summer,1998,2
Steelhead,Hatchery,Summer,1999,0
Steelhead,Hatchery,Summer,2000,0
Steelhead,Hatchery,Summer,2001,36
Steelhead,Hatchery,Summer,2002,14
Steelhead,Hatchery,Summer,2003,41
Steelhead,Hatchery,Summer,2004,21
Steelhead,Hatchery,Summer,2005,7
Steelhead,Hatchery,Summer,2006,0
Steelhead,Hatchery,Summer,2007,10
Steelhead,Hatchery,Summer,2008,5
Steelhead,Hatchery,Summer,2009,1
Steelhead,Hatchery,Summer,2010,5
Steelhead,Hatchery,Summer,2011,0
Steelhead,Hatchery,Summer,2012,0
Steelhead,Hatchery,Summer,2013,0
Steelhead,Hatchery,Summer,2014,56
Steelhead,Hatchery,Summer,2015,57
Steelhead,Hatchery,Summer,2016,1
Steelhead,Hatchery,Summer,2017,7
Steelhead,Hatchery,Summer,2018,0
Steelhead,Hatchery,Summer,2019,0
Steelhead,Hatchery,Summer,2020,0
Coho,Hatchery,Type S,1997,1068
Coho,Hatchery,Type S,1998,2796
Coho,Hatchery,Type S,1999,4887
Coho,Hatchery,Type S,2000,2702
Coho,Hatchery,Type S,2001,10342
Coho,Hatchery,Type S,2002,3265
Coho,Hatchery,Type S,2003,3255
Coho,Hatchery,Type S,2004,1169
Coho,Hatchery,Type S,2005,1027
Coho,Hatchery,Type S,2006,2396
Coho,Hatchery,Type S,2007,4571
Coho,Hatchery,Type S,2008,2721
Coho,Hatchery,Type S,2009,2050
Coho,Hatchery,Type S,2010,1898
Coho,Hatchery,Type S,2011,463
Coho,Hatchery,Type S,2012,357
Coho,Hatchery,Type S,2013,711
Coho,Hatchery,Type S,2014,4113
Coho,Hatchery,Type S,2015,606
Coho,Hatchery,Type S,2016,0
Coho,Hatchery,Type S,2017,2
Coho,Hatchery,Type S,2018,0
Coho,Hatchery,Type S,2019,0
Coho,Hatchery,Type S,2020,0
