Species,Origin,Run,Year,Count
Chinook,Wild,Fall,1997,0
Chinook,Wild,Fall,1998,0
Chinook,Wild,Fall,1999,0
Chinook,Wild,Fall,2000,0
Chinook,Wild,Fall,2001,0
Chinook,Wild,Fall,2002,0
Chinook,Wild,Fall,2003,0
Chinook,Wild,Fall,2004,0
Chinook,Wild,Fall,2005,0
Chinook,Wild,Fall,2006,0
Chinook,Wild,Fall,2007,0
Chinook,Wild,Fall,2008,0
Chinook,Wild,Fall,2009,0
Chinook,Wild,Fall,2010,17
Chinook,Wild,Fall,2011,27
Chinook,Wild,Fall,2012,15
Chinook,Wild,Fall,2013,8
Chinook,Wild,Fall,2014,18
Chinook,Wild,Fall,2015,8
Chinook,Wild,Fall,2016,42
Chinook,Wild,Fall,2017,25
Chinook,Wild,Fall,2018,12
Chinook,Wild,Fall,2019,12
Chinook,Wild,Fall,2020,13
Chinook,Hatchery,Fall,1997,4280
Chinook,Hatchery,Fall,1998,3828
Chinook,Hatchery,Fall,1999,3434
Chinook,Hatchery,Fall,2000,1589
Chinook,Hatchery,Fall,2001,2572
Chinook,Hatchery,Fall,2002,2948
Chinook,Hatchery,Fall,2003,1984
Chinook,Hatchery,Fall,2004,2070
Chinook,Hatchery,Fall,2005,2404
Chinook,Hatchery,Fall,2006,4629
Chinook,Hatchery,Fall,2007,4563
Chinook,Hatchery,Fall,2008,3096
Chinook,Hatchery,Fall,2009,3042
Chinook,Hatchery,Fall,2010,2366
Chinook,Hatchery,Fall,2011,2320
Chinook,Hatchery,Fall,2012,963
Chinook,Hatchery,Fall,2013,1571
Chinook,Hatchery,Fall,2014,2659
Chinook,Hatchery,Fall,2015,2884
Chinook,Hatchery,Fall,2016,5337
Chinook,Hatchery,Fall,2017,5599
Chinook,Hatchery,Fall,2018,5452
Chinook,Hatchery,Fall,2019,5084
Chinook,Hatchery,Fall,2020,5098
Steelhead,Hatchery,Winter,1997,2
Steelhead,Hatchery,Winter,1998,92
Steelhead,Hatchery,Winter,1999,122
Steelhead,Hatchery,Winter,2000,91
Steelhead,Hatchery,Winter,2001,102
Steelhead,Hatchery,Winter,2002,90
Steelhead,Hatchery,Winter,2003,20
Steelhead,Hatchery,Winter,2004,69
Steelhead,Hatchery,Winter,2005,42
Steelhead,Hatchery,Winter,2006,51
Steelhead,Hatchery,Winter,2007,48
Steelhead,Hatchery,Winter,2008,16
Steelhead,Hatchery,Winter,2009,0
Steelhead,Hatchery,Winter,2010,3
Steelhead,Hatchery,Winter,2011,9
Steelhead,Hatchery,Winter,2012,0
Steelhead,Hatchery,Winter,2013,0
Steelhead,Hatchery,Winter,2014,0
Steelhead,Hatchery,Winter,2015,0
Steelhead,Hatchery,Winter,2016,0
Steelhead,Hatchery,Winter,2017,0
Steelhead,Hatchery,Winter,2018,0
Steelhead,Hatchery,Winter,2019,0
Steelhead,Hatchery,Winter,2020,0
Coho,Wild,nan,1997,0
Coho,Wild,nan,1998,0
Coho,Wild,nan,1999,0
Coho,Wild,nan,2000,0
Coho,Wild,nan,2001,0
Coho,Wild,nan,2002,0
Coho,Wild,nan,2003,0
Coho,Wild,nan,2004,0
Coho,Wild,nan,2005,0
Coho,Wild,nan,2006,0
Coho,Wild,nan,2007,0
Coho,Wild,nan,2008,0
Coho,Wild,nan,2009,0
Coho,Wild,nan,2010,32
Coho,Wild,nan,2011,13
Coho,Wild,nan,2012,101
Coho,Wild,nan,2013,31
Coho,Wild,nan,2014,16
Coho,Wild,nan,2015,72
Coho,Wild,nan,2016,89
Coho,Wild,nan,2017,38
Coho,Wild,nan,2018,80
Coho,Wild,nan,2019,28
Coho,Wild,nan,2020,26
Coho,Hatchery,nan,1997,16600
Coho,Hatchery,nan,1998,8128
Coho,Hatchery,nan,1999,9000
Coho,Hatchery,nan,2000,39319
Coho,Hatchery,nan,2001,34300
Coho,Hatchery,nan,2002,48179
Coho,Hatchery,nan,2003,38592
Coho,Hatchery,nan,2004,20721
Coho,Hatchery,nan,2005,24224
Coho,Hatchery,nan,2006,9575
Coho,Hatchery,nan,2007,10992
Coho,Hatchery,nan,2008,6279
Coho,Hatchery,nan,2009,7560
Coho,Hatchery,nan,2010,1144
Coho,Hatchery,nan,2011,7368
Coho,Hatchery,nan,2012,5338
Coho,Hatchery,nan,2013,6658
Coho,Hatchery,nan,2014,4390
Coho,Hatchery,nan,2015,6145
Coho,Hatchery,nan,2016,23973
Coho,Hatchery,nan,2017,6559
Coho,Hatchery,nan,2018,16947
Coho,Hatchery,nan,2019,8684
Coho,Hatchery,nan,2020,8890
Pink,Wild,nan,1997,0
Pink,Wild,nan,1998,0
Pink,Wild,nan,1999,0
Pink,Wild,nan,2000,0
Pink,Wild,nan,2001,0
Pink,Wild,nan,2002,0
Pink,Wild,nan,2003,0
Pink,Wild,nan,2004,0
Pink,Wild,nan,2005,383
Pink,Wild,nan,2006,0
Pink,Wild,nan,2007,46
Pink,Wild,nan,2008,0
Pink,Wild,nan,2009,1502
Pink,Wild,nan,2010,0
Pink,Wild,nan,2011,250
Pink,Wild,nan,2012,0
Pink,Wild,nan,2013,84
Pink,Wild,nan,2014,0
Pink,Wild,nan,2015,705
Pink,Wild,nan,2016,0
Pink,Wild,nan,2017,0
Pink,Wild,nan,2018,0
Pink,Wild,nan,2019,0
Pink,Wild,nan,2020,0
