Species,Origin,Run,Year,Count
Chinook,Wild,Summer,1997,71
Chinook,Wild,Summer,1998,91
Chinook,Wild,Summer,1999,77
Chinook,Wild,Summer,2000,97
Chinook,Wild,Summer,2001,76
Chinook,Wild,Summer,2002,81
Chinook,Wild,Summer,2003,100
Chinook,Wild,Summer,2004,97
Chinook,Wild,Summer,2005,102
Chinook,Wild,Summer,2006,102
Chinook,Wild,Summer,2007,91
Chinook,Wild,Summer,2008,86
Chinook,Wild,Summer,2009,94
Chinook,Wild,Summer,2010,69
Chinook,Wild,Summer,2011,67
Chinook,Wild,Summer,2012,82
Chinook,Wild,Summer,2013,73
Chinook,Wild,Summer,2014,94
Chinook,Wild,Summer,2015,91
Chinook,Wild,Summer,2016,81
Chinook,Wild,Summer,2017,91
Chinook,Wild,Summer,2018,75
Chinook,Wild,Summer,2019,82
Chinook,Wild,Summer,2020,56
Chinook,Wild,Fall,1997,0
Chinook,Wild,Fall,1998,0
Chinook,Wild,Fall,1999,16
Chinook,Wild,Fall,2000,89
Chinook,Wild,Fall,2001,76
Chinook,Wild,Fall,2002,19
Chinook,Wild,Fall,2003,226
Chinook,Wild,Fall,2004,131
Chinook,Wild,Fall,2005,233
Chinook,Wild,Fall,2006,275
Chinook,Wild,Fall,2007,279
Chinook,Wild,Fall,2008,82
Chinook,Wild,Fall,2009,0
Chinook,Wild,Fall,2010,0
Chinook,Wild,Fall,2011,0
Chinook,Wild,Fall,2012,0
Chinook,Wild,Fall,2013,0
Chinook,Wild,Fall,2014,0
Chinook,Wild,Fall,2015,0
Chinook,Wild,Fall,2016,0
Chinook,Wild,Fall,2017,0
Chinook,Wild,Fall,2018,0
Chinook,Wild,Fall,2019,0
Chinook,Wild,Fall,2020,0
Chinook,Hatchery,Spring,1997,1140
Chinook,Hatchery,Spring,1998,1088
Chinook,Hatchery,Spring,1999,3169
Chinook,Hatchery,Spring,2000,1108
Chinook,Hatchery,Spring,2001,1567
Chinook,Hatchery,Spring,2002,1710
Chinook,Hatchery,Spring,2003,1537
Chinook,Hatchery,Spring,2004,3211
Chinook,Hatchery,Spring,2005,2305
Chinook,Hatchery,Spring,2006,1530
Chinook,Hatchery,Spring,2007,2010
Chinook,Hatchery,Spring,2008,1464
Chinook,Hatchery,Spring,2009,909
Chinook,Hatchery,Spring,2010,1377
Chinook,Hatchery,Spring,2011,1299
Chinook,Hatchery,Spring,2012,1572
Chinook,Hatchery,Spring,2013,1257
Chinook,Hatchery,Spring,2014,1075
Chinook,Hatchery,Spring,2015,1736
Chinook,Hatchery,Spring,2016,2349
Chinook,Hatchery,Spring,2017,3168
Chinook,Hatchery,Spring,2018,2303
Chinook,Hatchery,Spring,2019,1732
Chinook,Hatchery,Spring,2020,1827
Steelhead,Hatchery,Winter,1997,23
Steelhead,Hatchery,Winter,1998,583
Steelhead,Hatchery,Winter,1999,361
Steelhead,Hatchery,Winter,2000,105
Steelhead,Hatchery,Winter,2001,485
Steelhead,Hatchery,Winter,2002,525
Steelhead,Hatchery,Winter,2003,97
Steelhead,Hatchery,Winter,2004,398
Steelhead,Hatchery,Winter,2005,288
Steelhead,Hatchery,Winter,2006,284
Steelhead,Hatchery,Winter,2007,298
Steelhead,Hatchery,Winter,2008,98
Steelhead,Hatchery,Winter,2009,159
Steelhead,Hatchery,Winter,2010,412
Steelhead,Hatchery,Winter,2011,117
Steelhead,Hatchery,Winter,2012,257
Steelhead,Hatchery,Winter,2013,207
Steelhead,Hatchery,Winter,2014,43
Steelhead,Hatchery,Winter,2015,36
Steelhead,Hatchery,Winter,2016,0
Steelhead,Hatchery,Winter,2017,0
Steelhead,Hatchery,Winter,2018,0
Steelhead,Hatchery,Winter,2019,0
Steelhead,Hatchery,Winter,2020,0
Coho,Wild,nan,1997,0
Coho,Wild,nan,1998,0
Coho,Wild,nan,1999,0
Coho,Wild,nan,2000,0
Coho,Wild,nan,2001,0
Coho,Wild,nan,2002,0
Coho,Wild,nan,2003,0
Coho,Wild,nan,2004,0
Coho,Wild,nan,2005,0
Coho,Wild,nan,2006,0
Coho,Wild,nan,2007,0
Coho,Wild,nan,2008,99
Coho,Wild,nan,2009,589
Coho,Wild,nan,2010,285
Coho,Wild,nan,2011,453
Coho,Wild,nan,2012,165
Coho,Wild,nan,2013,256
Coho,Wild,nan,2014,130
Coho,Wild,nan,2015,28
Coho,Wild,nan,2016,214
Coho,Wild,nan,2017,51
Coho,Wild,nan,2018,386
Coho,Wild,nan,2019,301
Coho,Wild,nan,2020,422
Coho,Hatchery,nan,1997,3146
Coho,Hatchery,nan,1998,9461
Coho,Hatchery,nan,1999,2708
Coho,Hatchery,nan,2000,11261
Coho,Hatchery,nan,2001,12354
Coho,Hatchery,nan,2002,16045
Coho,Hatchery,nan,2003,4372
Coho,Hatchery,nan,2004,10038
Coho,Hatchery,nan,2005,10161
Coho,Hatchery,nan,2006,1525
Coho,Hatchery,nan,2007,8887
Coho,Hatchery,nan,2008,10324
Coho,Hatchery,nan,2009,8955
Coho,Hatchery,nan,2010,4132
Coho,Hatchery,nan,2011,8778
Coho,Hatchery,nan,2012,9458
Coho,Hatchery,nan,2013,13114
Coho,Hatchery,nan,2014,7244
Coho,Hatchery,nan,2015,1203
Coho,Hatchery,nan,2016,8693
Coho,Hatchery,nan,2017,5443
Coho,Hatchery,nan,2018,8952
Coho,Hatchery,nan,2019,8080
Coho,Hatchery,nan,2020,18736
