Species,Origin,Run,Year,Count
Steelhead,Wild,Summer,1997,0
Steelhead,Wild,Summer,1998,0
Steelhead,Wild,Summer,1999,0
Steelhead,Wild,Summer,2000,0
Steelhead,Wild,Summer,2001,0
Steelhead,Wild,Summer,2002,0
Steelhead,Wild,Summer,2003,0
Steelhead,Wild,Summer,2004,0
Steelhead,Wild,Summer,2005,0
Steelhead,Wild,Summer,2006,0
Steelhead,Wild,Summer,2007,0
Steelhead,Wild,Summer,2008,0
Steelhead,Wild,Summer,2009,0
Steelhead,Wild,Summer,2010,0
Steelhead,Wild,Summer,2011,0
Steelhead,Wild,Summer,2012,0
Steelhead,Wild,Summer,2013,0
Steelhead,Wild,Summer,2014,0
Steelhead,Wild,Summer,2015,0
Steelhead,Wild,Summer,2016,46
Steelhead,Wild,Summer,2017,53
Steelhead,Wild,Summer,2018,0
Steelhead,Wild,Summer,2019,0
Steelhead,Wild,Summer,2020,0
Steelhead,Hatchery,Summer,1997,0
Steelhead,Hatchery,Summer,1998,0
Steelhead,Hatchery,Summer,1999,0
Steelhead,Hatchery,Summer,2000,0
Steelhead,Hatchery,Summer,2001,0
Steelhead,Hatchery,Summer,2002,0
Steelhead,Hatchery,Summer,2003,0
Steelhead,Hatchery,Summer,2004,0
Steelhead,Hatchery,Summer,2005,0
Steelhead,Hatchery,Summer,2006,0
Steelhead,Hatchery,Summer,2007,0
Steelhead,Hatchery,Summer,2008,0
Steelhead,Hatchery,Summer,2009,0
Steelhead,Hatchery,Summer,2010,0
Steelhead,Hatchery,Summer,2011,0
Steelhead,Hatchery,Summer,2012,0
Steelhead,Hatchery,Summer,2013,0
Steelhead,Hatchery,Summer,2014,0
Steelhead,Hatchery,Summer,2015,0
Steelhead,Hatchery,Summer,2016,114
Steelhead,Hatchery,Summer,2017,64
Steelhead,Hatchery,Summer,2018,0
Steelhead,Hatchery,Summer,2019,0
Steelhead,Hatchery,Summer,2020,0
