Species,Origin,Run,Year,Count
Chinook,Hatchery,Summer,1997,11
Chinook,Hatchery,Summer,1998,0
Chinook,Hatchery,Summer,1999,0
Chinook,Hatchery,Summer,2000,0
Chinook,Hatchery,Summer,2001,0
Chinook,Hatchery,Summer,2002,0
Chinook,Hatchery,Summer,2003,0
Chinook,Hatchery,Summer,2004,0
Chinook,Hatchery,Summer,2005,0
Chinook,Hatchery,Summer,2006,0
Chinook,Hatchery,Summer,2007,0
Chinook,Hatchery,Summer,2008,0
Chinook,Hatchery,Summer,2009,0
Chinook,Hatchery,Summer,2010,6
Chinook,Hatchery,Summer,2011,9
Chinook,Hatchery,Summer,2012,19
Chinook,Hatchery,Summer,2013,4
Chinook,Hatchery,Summer,2014,16
Chinook,Hatchery,Summer,2015,4
Chinook,Hatchery,Summer,2016,32
Chinook,Hatchery,Summer,2017,34
Chinook,Hatchery,Summer,2018,8
Chinook,Hatchery,Summer,2019,63
Chinook,Hatchery,Summer,2020,8
Steelhead,Hatchery,Summer,1997,265
Steelhead,Hatchery,Summer,1998,177
Steelhead,Hatchery,Summer,1999,0
Steelhead,Hatchery,Summer,2000,0
Steelhead,Hatchery,Summer,2001,33
Steelhead,Hatchery,Summer,2002,18
Steelhead,Hatchery,Summer,2003,22
Steelhead,Hatchery,Summer,2004,44
Steelhead,Hatchery,Summer,2005,56
Steelhead,Hatchery,Summer,2006,48
Steelhead,Hatchery,Summer,2007,30
Steelhead,Hatchery,Summer,2008,18
Steelhead,Hatchery,Summer,2009,30
Steelhead,Hatchery,Summer,2010,55
Steelhead,Hatchery,Summer,2011,98
Steelhead,Hatchery,Summer,2012,228
Steelhead,Hatchery,Summer,2013,174
Steelhead,Hatchery,Summer,2014,116
Steelhead,Hatchery,Summer,2015,79
Steelhead,Hatchery,Summer,2016,60
Steelhead,Hatchery,Summer,2017,31
Steelhead,Hatchery,Summer,2018,37
Steelhead,Hatchery,Summer,2019,49
Steelhead,Hatchery,Summer,2020,57
Steelhead,Hatchery,Winter,1997,3
Steelhead,Hatchery,Winter,1998,197
Steelhead,Hatchery,Winter,1999,201
Steelhead,Hatchery,Winter,2000,170
Steelhead,Hatchery,Winter,2001,165
Steelhead,Hatchery,Winter,2002,422
Steelhead,Hatchery,Winter,2003,107
Steelhead,Hatchery,Winter,2004,251
Steelhead,Hatchery,Winter,2005,326
Steelhead,Hatchery,Winter,2006,307
Steelhead,Hatchery,Winter,2007,132
Steelhead,Hatchery,Winter,2008,95
Steelhead,Hatchery,Winter,2009,78
Steelhead,Hatchery,Winter,2010,288
Steelhead,Hatchery,Winter,2011,86
Steelhead,Hatchery,Winter,2012,209
Steelhead,Hatchery,Winter,2013,138
Steelhead,Hatchery,Winter,2014,280
Steelhead,Hatchery,Winter,2015,58
Steelhead,Hatchery,Winter,2016,7
Steelhead,Hatchery,Winter,2017,39
Steelhead,Hatchery,Winter,2018,149
Steelhead,Hatchery,Winter,2019,51
Steelhead,Hatchery,Winter,2020,44
Coho,Wild,nan,1997,0
Coho,Wild,nan,1998,0
Coho,Wild,nan,1999,0
Coho,Wild,nan,2000,0
Coho,Wild,nan,2001,0
Coho,Wild,nan,2002,0
Coho,Wild,nan,2003,0
Coho,Wild,nan,2004,0
Coho,Wild,nan,2005,18
Coho,Wild,nan,2006,5
Coho,Wild,nan,2007,0
Coho,Wild,nan,2008,0
Coho,Wild,nan,2009,0
Coho,Wild,nan,2010,0
Coho,Wild,nan,2011,0
Coho,Wild,nan,2012,12
Coho,Wild,nan,2013,3
Coho,Wild,nan,2014,8
Coho,Wild,nan,2015,22
Coho,Wild,nan,2016,25
Coho,Wild,nan,2017,39
Coho,Wild,nan,2018,81
Coho,Wild,nan,2019,98
Coho,Wild,nan,2020,77
