Species,Origin,Run,Year,Count
Chinook,Wild,Spring,1997,0
Chinook,Wild,Spring,1998,0
Chinook,Wild,Spring,1999,0
Chinook,Wild,Spring,2000,0
Chinook,Wild,Spring,2001,0
Chinook,Wild,Spring,2002,422
Chinook,Wild,Spring,2003,562
Chinook,Wild,Spring,2004,269
Chinook,Wild,Spring,2005,143
Chinook,Wild,Spring,2006,91
Chinook,Wild,Spring,2007,70
Chinook,Wild,Spring,2008,73
Chinook,Wild,Spring,2009,99
Chinook,Wild,Spring,2010,115
Chinook,Wild,Spring,2011,74
Chinook,Wild,Spring,2012,237
Chinook,Wild,Spring,2013,312
Chinook,Wild,Spring,2014,240
Chinook,Wild,Spring,2015,197
Chinook,Wild,Spring,2016,201
Chinook,Wild,Spring,2017,151
Chinook,Wild,Spring,2018,154
Chinook,Wild,Spring,2019,195
Chinook,Wild,Spring,2020,370
Chinook,Wild,Fall,1997,0
Chinook,Wild,Fall,1998,0
Chinook,Wild,Fall,1999,0
Chinook,Wild,Fall,2000,0
Chinook,Wild,Fall,2001,0
Chinook,Wild,Fall,2002,0
Chinook,Wild,Fall,2003,0
Chinook,Wild,Fall,2004,0
Chinook,Wild,Fall,2005,21
Chinook,Wild,Fall,2006,77
Chinook,Wild,Fall,2007,237
Chinook,Wild,Fall,2008,314
Chinook,Wild,Fall,2009,482
Chinook,Wild,Fall,2010,2395
Chinook,Wild,Fall,2011,4306
Chinook,Wild,Fall,2012,1953
Chinook,Wild,Fall,2013,3308
Chinook,Wild,Fall,2014,2263
Chinook,Wild,Fall,2015,3481
Chinook,Wild,Fall,2016,3091
Chinook,Wild,Fall,2017,1898
Chinook,Wild,Fall,2018,936
Chinook,Wild,Fall,2019,924
Chinook,Wild,Fall,2020,2579
Chinook,Hatchery,Spring,1997,8270
Chinook,Hatchery,Spring,1998,831
Chinook,Hatchery,Spring,1999,1339
Chinook,Hatchery,Spring,2000,1426
Chinook,Hatchery,Spring,2001,1309
Chinook,Hatchery,Spring,2002,2713
Chinook,Hatchery,Spring,2003,10525
Chinook,Hatchery,Spring,2004,12554
Chinook,Hatchery,Spring,2005,7503
Chinook,Hatchery,Spring,2006,5377
Chinook,Hatchery,Spring,2007,3086
Chinook,Hatchery,Spring,2008,1895
Chinook,Hatchery,Spring,2009,3604
Chinook,Hatchery,Spring,2010,5917
Chinook,Hatchery,Spring,2011,1992
Chinook,Hatchery,Spring,2012,5589
Chinook,Hatchery,Spring,2013,3762
Chinook,Hatchery,Spring,2014,4591
Chinook,Hatchery,Spring,2015,17408
