Species,Origin,Run,Year,Count
Steelhead,Hatchery,Winter,1997,0
Steelhead,Hatchery,Winter,1998,70
Steelhead,Hatchery,Winter,1999,111
Steelhead,Hatchery,Winter,2000,14
Steelhead,Hatchery,Winter,2001,19
Steelhead,Hatchery,Winter,2002,0
Steelhead,Hatchery,Winter,2003,0
Steelhead,Hatchery,Winter,2004,0
Steelhead,Hatchery,Winter,2005,12
Steelhead,Hatchery,Winter,2006,5
Steelhead,Hatchery,Winter,2007,44
Steelhead,Hatchery,Winter,2008,28
Steelhead,Hatchery,Winter,2009,5
Steelhead,Hatchery,Winter,2010,0
Steelhead,Hatchery,Winter,2011,0
Steelhead,Hatchery,Winter,2012,0
Steelhead,Hatchery,Winter,2013,0
Steelhead,Hatchery,Winter,2014,0
Steelhead,Hatchery,Winter,2015,0
Steelhead,Hatchery,Winter,2016,0
Steelhead,Hatchery,Winter,2017,0
Steelhead,Hatchery,Winter,2018,0
Steelhead,Hatchery,Winter,2019,0
Steelhead,Hatchery,Winter,2020,0
