Species,Origin,Run,Year,Count
Chinook,Wild,Spring,1997,14
Chinook,Wild,Spring,1998,0
Chinook,Wild,Spring,1999,0
Chinook,Wild,Spring,2000,0
Chinook,Wild,Spring,2001,0
Chinook,Wild,Spring,2002,0
Chinook,Wild,Spring,2003,0
Chinook,Wild,Spring,2004,0
Chinook,Wild,Spring,2005,0
Chinook,Wild,Spring,2006,0
Chinook,Wild,Spring,2007,0
Chinook,Wild,Spring,2008,0
Chinook,Wild,Spring,2009,0
Chinook,Wild,Spring,2010,177
Chinook,Wild,Spring,2011,135
Chinook,Wild,Spring,2012,153
Chinook,Wild,Spring,2013,112
Chinook,Wild,Spring,2014,263
Chinook,Wild,Spring,2015,169
Chinook,Wild,Spring,2016,9
Chinook,Wild,Spring,2017,6
Chinook,Wild,Spring,2018,0
Chinook,Wild,Spring,2019,0
Chinook,Wild,Spring,2020,0
Chinook,Hatchery,Spring,1997,0
Chinook,Hatchery,Spring,1998,0
Chinook,Hatchery,Spring,1999,0
Chinook,Hatchery,Spring,2000,0
Chinook,Hatchery,Spring,2001,806
Chinook,Hatchery,Spring,2002,988
Chinook,Hatchery,Spring,2003,188
Chinook,Hatchery,Spring,2004,287
Chinook,Hatchery,Spring,2005,190
Chinook,Hatchery,Spring,2006,353
Chinook,Hatchery,Spring,2007,0
Chinook,Hatchery,Spring,2008,0
Chinook,Hatchery,Spring,2009,0
Chinook,Hatchery,Spring,2010,1272
Chinook,Hatchery,Spring,2011,647
Chinook,Hatchery,Spring,2012,1009
Chinook,Hatchery,Spring,2013,708
Chinook,Hatchery,Spring,2014,1540
Chinook,Hatchery,Spring,2015,3262
Chinook,Hatchery,Spring,2016,439
Chinook,Hatchery,Spring,2017,221
Chinook,Hatchery,Spring,2018,0
Chinook,Hatchery,Spring,2019,0
Chinook,Hatchery,Spring,2020,0
Steelhead,Wild,Summer,1997,0
Steelhead,Wild,Summer,1998,0
Steelhead,Wild,Summer,1999,0
Steelhead,Wild,Summer,2000,0
Steelhead,Wild,Summer,2001,0
Steelhead,Wild,Summer,2002,0
Steelhead,Wild,Summer,2003,0
Steelhead,Wild,Summer,2004,0
Steelhead,Wild,Summer,2005,0
Steelhead,Wild,Summer,2006,0
Steelhead,Wild,Summer,2007,0
Steelhead,Wild,Summer,2008,0
Steelhead,Wild,Summer,2009,0
Steelhead,Wild,Summer,2010,0
Steelhead,Wild,Summer,2011,26
Steelhead,Wild,Summer,2012,28
Steelhead,Wild,Summer,2013,89
Steelhead,Wild,Summer,2014,99
Steelhead,Wild,Summer,2015,71
Steelhead,Wild,Summer,2016,10
Steelhead,Wild,Summer,2017,4
Steelhead,Wild,Summer,2018,0
Steelhead,Wild,Summer,2019,0
Steelhead,Wild,Summer,2020,0
Steelhead,Hatchery,Summer,1997,0
Steelhead,Hatchery,Summer,1998,0
Steelhead,Hatchery,Summer,1999,0
Steelhead,Hatchery,Summer,2000,0
Steelhead,Hatchery,Summer,2001,0
Steelhead,Hatchery,Summer,2002,0
Steelhead,Hatchery,Summer,2003,0
Steelhead,Hatchery,Summer,2004,0
Steelhead,Hatchery,Summer,2005,0
Steelhead,Hatchery,Summer,2006,0
Steelhead,Hatchery,Summer,2007,0
Steelhead,Hatchery,Summer,2008,0
Steelhead,Hatchery,Summer,2009,0
Steelhead,Hatchery,Summer,2010,0
Steelhead,Hatchery,Summer,2011,0
Steelhead,Hatchery,Summer,2012,10
Steelhead,Hatchery,Summer,2013,124
Steelhead,Hatchery,Summer,2014,124
Steelhead,Hatchery,Summer,2015,206
Steelhead,Hatchery,Summer,2016,111
Steelhead,Hatchery,Summer,2017,75
Steelhead,Hatchery,Summer,2018,0
Steelhead,Hatchery,Summer,2019,0
Steelhead,Hatchery,Summer,2020,0
