Species,Origin,Run,Year,Count
Chinook,Wild,Fall,1997,0
Chinook,Wild,Fall,1998,0
Chinook,Wild,Fall,1999,0
Chinook,Wild,Fall,2000,0
Chinook,Wild,Fall,2001,0
Chinook,Wild,Fall,2002,0
Chinook,Wild,Fall,2003,0
Chinook,Wild,Fall,2004,0
Chinook,Wild,Fall,2005,0
Chinook,Wild,Fall,2006,0
Chinook,Wild,Fall,2007,0
Chinook,Wild,Fall,2008,0
Chinook,Wild,Fall,2009,0
Chinook,Wild,Fall,2010,49
Chinook,Wild,Fall,2011,19
Chinook,Wild,Fall,2012,32
Chinook,Wild,Fall,2013,36
Chinook,Wild,Fall,2014,20
Chinook,Wild,Fall,2015,81
Chinook,Wild,Fall,2016,72
Chinook,Wild,Fall,2017,180
Chinook,Wild,Fall,2018,51
Chinook,Wild,Fall,2019,32
Chinook,Wild,Fall,2020,37
Chinook,Hatchery,Fall,1997,105
Chinook,Hatchery,Fall,1998,392
Chinook,Hatchery,Fall,1999,54
Chinook,Hatchery,Fall,2000,55
Chinook,Hatchery,Fall,2001,61
Chinook,Hatchery,Fall,2002,301
Chinook,Hatchery,Fall,2003,136
Chinook,Hatchery,Fall,2004,167
Chinook,Hatchery,Fall,2005,236
Chinook,Hatchery,Fall,2006,379
Chinook,Hatchery,Fall,2007,0
Chinook,Hatchery,Fall,2008,0
Chinook,Hatchery,Fall,2009,0
Chinook,Hatchery,Fall,2010,80
Chinook,Hatchery,Fall,2011,113
Chinook,Hatchery,Fall,2012,60
Chinook,Hatchery,Fall,2013,247
Chinook,Hatchery,Fall,2014,132
Chinook,Hatchery,Fall,2015,274
Chinook,Hatchery,Fall,2016,188
Chinook,Hatchery,Fall,2017,423
Chinook,Hatchery,Fall,2018,268
Chinook,Hatchery,Fall,2019,113
Chinook,Hatchery,Fall,2020,140
Steelhead,Hatchery,Summer,1997,204
Steelhead,Hatchery,Summer,1998,515
Steelhead,Hatchery,Summer,1999,150
Steelhead,Hatchery,Summer,2000,1019
Steelhead,Hatchery,Summer,2001,274
Steelhead,Hatchery,Summer,2002,610
Steelhead,Hatchery,Summer,2003,960
Steelhead,Hatchery,Summer,2004,706
Steelhead,Hatchery,Summer,2005,408
Steelhead,Hatchery,Summer,2006,422
Steelhead,Hatchery,Summer,2007,415
Steelhead,Hatchery,Summer,2008,433
Steelhead,Hatchery,Summer,2009,374
Steelhead,Hatchery,Summer,2010,179
Steelhead,Hatchery,Summer,2011,235
Steelhead,Hatchery,Summer,2012,297
Steelhead,Hatchery,Summer,2013,273
Steelhead,Hatchery,Summer,2014,190
Steelhead,Hatchery,Summer,2015,573
Steelhead,Hatchery,Summer,2016,395
Steelhead,Hatchery,Summer,2017,186
Steelhead,Hatchery,Summer,2018,201
Steelhead,Hatchery,Summer,2019,25
Steelhead,Hatchery,Summer,2020,78
Steelhead,Hatchery,Winter,1997,20
Steelhead,Hatchery,Winter,1998,164
Steelhead,Hatchery,Winter,1999,40
Steelhead,Hatchery,Winter,2000,269
Steelhead,Hatchery,Winter,2001,706
Steelhead,Hatchery,Winter,2002,1119
Steelhead,Hatchery,Winter,2003,625
Steelhead,Hatchery,Winter,2004,363
Steelhead,Hatchery,Winter,2005,308
Steelhead,Hatchery,Winter,2006,30
Steelhead,Hatchery,Winter,2007,12
Steelhead,Hatchery,Winter,2008,18
Steelhead,Hatchery,Winter,2009,0
Steelhead,Hatchery,Winter,2010,0
Steelhead,Hatchery,Winter,2011,0
Steelhead,Hatchery,Winter,2012,0
Steelhead,Hatchery,Winter,2013,0
Steelhead,Hatchery,Winter,2014,0
Steelhead,Hatchery,Winter,2015,0
Steelhead,Hatchery,Winter,2016,0
Steelhead,Hatchery,Winter,2017,0
Steelhead,Hatchery,Winter,2018,0
Steelhead,Hatchery,Winter,2019,0
Steelhead,Hatchery,Winter,2020,0
Steelhead,Hatchery,Winter-Late,1997,0
Steelhead,Hatchery,Winter-Late,1998,0
Steelhead,Hatchery,Winter-Late,1999,0
Steelhead,Hatchery,Winter-Late,2000,0
Steelhead,Hatchery,Winter-Late,2001,0
Steelhead,Hatchery,Winter-Late,2002,0
Steelhead,Hatchery,Winter-Late,2003,0
Steelhead,Hatchery,Winter-Late,2004,0
Steelhead,Hatchery,Winter-Late,2005,0
Steelhead,Hatchery,Winter-Late,2006,0
Steelhead,Hatchery,Winter-Late,2007,0
Steelhead,Hatchery,Winter-Late,2008,0
Steelhead,Hatchery,Winter-Late,2009,0
Steelhead,Hatchery,Winter-Late,2010,15
Steelhead,Hatchery,Winter-Late,2011,155
Steelhead,Hatchery,Winter-Late,2012,196
Steelhead,Hatchery,Winter-Late,2013,2
Steelhead,Hatchery,Winter-Late,2014,7
Steelhead,Hatchery,Winter-Late,2015,24
Steelhead,Hatchery,Winter-Late,2016,5
Steelhead,Hatchery,Winter-Late,2017,40
Steelhead,Hatchery,Winter-Late,2018,0
Steelhead,Hatchery,Winter-Late,2019,7
Steelhead,Hatchery,Winter-Late,2020,3
Coho,Wild,nan,1997,0
Coho,Wild,nan,1998,0
Coho,Wild,nan,1999,0
Coho,Wild,nan,2000,0
Coho,Wild,nan,2001,0
Coho,Wild,nan,2002,0
Coho,Wild,nan,2003,0
Coho,Wild,nan,2004,0
Coho,Wild,nan,2005,0
Coho,Wild,nan,2006,0
Coho,Wild,nan,2007,0
Coho,Wild,nan,2008,0
Coho,Wild,nan,2009,60
Coho,Wild,nan,2010,219
Coho,Wild,nan,2011,16
Coho,Wild,nan,2012,22
Coho,Wild,nan,2013,95
Coho,Wild,nan,2014,102
Coho,Wild,nan,2015,51
Coho,Wild,nan,2016,65
Coho,Wild,nan,2017,86
Coho,Wild,nan,2018,85
Coho,Wild,nan,2019,158
Coho,Wild,nan,2020,112
Coho,Hatchery,nan,1997,110
Coho,Hatchery,nan,1998,355
Coho,Hatchery,nan,1999,220
Coho,Hatchery,nan,2000,0
Coho,Hatchery,nan,2001,2830
Coho,Hatchery,nan,2002,4071
Coho,Hatchery,nan,2003,7801
Coho,Hatchery,nan,2004,1076
Coho,Hatchery,nan,2005,1121
Coho,Hatchery,nan,2006,12
Coho,Hatchery,nan,2007,0
Coho,Hatchery,nan,2008,0
Coho,Hatchery,nan,2009,0
Coho,Hatchery,nan,2010,1625
Coho,Hatchery,nan,2011,410
Coho,Hatchery,nan,2012,133
Coho,Hatchery,nan,2013,87
Coho,Hatchery,nan,2014,1186
Coho,Hatchery,nan,2015,266
Coho,Hatchery,nan,2016,377
Coho,Hatchery,nan,2017,147
Coho,Hatchery,nan,2018,107
Coho,Hatchery,nan,2019,90
Coho,Hatchery,nan,2020,173
Chum,Wild,nan,1997,0
Chum,Wild,nan,1998,0
Chum,Wild,nan,1999,0
Chum,Wild,nan,2000,0
Chum,Wild,nan,2001,0
Chum,Wild,nan,2002,109
Chum,Wild,nan,2003,51
Chum,Wild,nan,2004,205
Chum,Wild,nan,2005,0
Chum,Wild,nan,2006,20
Chum,Wild,nan,2007,22
Chum,Wild,nan,2008,12
Chum,Wild,nan,2009,13
Chum,Wild,nan,2010,0
Chum,Wild,nan,2011,33
Chum,Wild,nan,2012,10
Chum,Wild,nan,2013,20
Chum,Wild,nan,2014,0
Chum,Wild,nan,2015,160
Chum,Wild,nan,2016,433
Chum,Wild,nan,2017,18
Chum,Wild,nan,2018,20
Chum,Wild,nan,2019,135
Chum,Wild,nan,2020,7
