Species,Origin,Run,Year,Count
Chinook,Wild,Spring,1997,1610
Chinook,Wild,Spring,1998,741
Chinook,Wild,Spring,1999,1228
Chinook,Wild,Spring,2000,993
Chinook,Wild,Spring,2001,772
Chinook,Wild,Spring,2002,325
Chinook,Wild,Spring,2003,91
Chinook,Wild,Spring,2004,142
Chinook,Wild,Spring,2005,0
Chinook,Wild,Spring,2006,130
Chinook,Wild,Spring,2007,0
Chinook,Wild,Spring,2008,0
Chinook,Wild,Spring,2009,0
Chinook,Wild,Spring,2010,21
Chinook,Wild,Spring,2011,40
Chinook,Wild,Spring,2012,32
Chinook,Wild,Spring,2013,3
Chinook,Wild,Spring,2014,4
Chinook,Wild,Spring,2015,8
Chinook,Wild,Spring,2016,5
Chinook,Wild,Spring,2017,7
Chinook,Wild,Spring,2018,0
Chinook,Wild,Spring,2019,0
Chinook,Wild,Spring,2020,1
Chinook,Hatchery,Spring,1997,0
Chinook,Hatchery,Spring,1998,0
Chinook,Hatchery,Spring,1999,0
Chinook,Hatchery,Spring,2000,0
Chinook,Hatchery,Spring,2001,0
Chinook,Hatchery,Spring,2002,0
Chinook,Hatchery,Spring,2003,0
Chinook,Hatchery,Spring,2004,0
Chinook,Hatchery,Spring,2005,0
Chinook,Hatchery,Spring,2006,0
Chinook,Hatchery,Spring,2007,0
Chinook,Hatchery,Spring,2008,0
Chinook,Hatchery,Spring,2009,0
Chinook,Hatchery,Spring,2010,92
Chinook,Hatchery,Spring,2011,167
Chinook,Hatchery,Spring,2012,68
Chinook,Hatchery,Spring,2013,13
Chinook,Hatchery,Spring,2014,4
Chinook,Hatchery,Spring,2015,39
Chinook,Hatchery,Spring,2016,26
Chinook,Hatchery,Spring,2017,42
Chinook,Hatchery,Spring,2018,0
Chinook,Hatchery,Spring,2019,4
Chinook,Hatchery,Spring,2020,22
Steelhead,Hatchery,Winter,1997,0
Steelhead,Hatchery,Winter,1998,0
Steelhead,Hatchery,Winter,1999,0
Steelhead,Hatchery,Winter,2000,6
Steelhead,Hatchery,Winter,2001,14
Steelhead,Hatchery,Winter,2002,9
Steelhead,Hatchery,Winter,2003,17
Steelhead,Hatchery,Winter,2004,20
Steelhead,Hatchery,Winter,2005,27
Steelhead,Hatchery,Winter,2006,42
Steelhead,Hatchery,Winter,2007,12
Steelhead,Hatchery,Winter,2008,6
Steelhead,Hatchery,Winter,2009,9
Steelhead,Hatchery,Winter,2010,31
Steelhead,Hatchery,Winter,2011,18
Steelhead,Hatchery,Winter,2012,66
Steelhead,Hatchery,Winter,2013,46
Steelhead,Hatchery,Winter,2014,55
Steelhead,Hatchery,Winter,2015,35
Steelhead,Hatchery,Winter,2016,3
Steelhead,Hatchery,Winter,2017,1
Steelhead,Hatchery,Winter,2018,21
Steelhead,Hatchery,Winter,2019,6
Steelhead,Hatchery,Winter,2020,4
Coho,Wild,nan,1997,0
Coho,Wild,nan,1998,0
Coho,Wild,nan,1999,0
Coho,Wild,nan,2000,0
Coho,Wild,nan,2001,0
Coho,Wild,nan,2002,0
Coho,Wild,nan,2003,0
Coho,Wild,nan,2004,0
Coho,Wild,nan,2005,0
Coho,Wild,nan,2006,0
Coho,Wild,nan,2007,74
Coho,Wild,nan,2008,14
Coho,Wild,nan,2009,245
Coho,Wild,nan,2010,55
Coho,Wild,nan,2011,580
Coho,Wild,nan,2012,66
Coho,Wild,nan,2013,71
Coho,Wild,nan,2014,101
Coho,Wild,nan,2015,30
Coho,Wild,nan,2016,27
Coho,Wild,nan,2017,107
Coho,Wild,nan,2018,0
Coho,Wild,nan,2019,5
Coho,Wild,nan,2020,2
Coho,Hatchery,nan,1997,0
Coho,Hatchery,nan,1998,0
Coho,Hatchery,nan,1999,0
Coho,Hatchery,nan,2000,17275
Coho,Hatchery,nan,2001,20000
Coho,Hatchery,nan,2002,4244
Coho,Hatchery,nan,2003,13494
Coho,Hatchery,nan,2004,2815
Coho,Hatchery,nan,2005,1731
Coho,Hatchery,nan,2006,422
Coho,Hatchery,nan,2007,1544
Coho,Hatchery,nan,2008,380
Coho,Hatchery,nan,2009,8877
Coho,Hatchery,nan,2010,1142
Coho,Hatchery,nan,2011,6725
Coho,Hatchery,nan,2012,5071
Coho,Hatchery,nan,2013,3384
Coho,Hatchery,nan,2014,2515
Coho,Hatchery,nan,2015,744
Coho,Hatchery,nan,2016,2378
Coho,Hatchery,nan,2017,3431
Coho,Hatchery,nan,2018,2266
Coho,Hatchery,nan,2019,1119
Coho,Hatchery,nan,2020,3047
Coho,Hatchery,Fall,1997,11500
Coho,Hatchery,Fall,1998,4000
Coho,Hatchery,Fall,1999,2300
Coho,Hatchery,Fall,2000,0
Coho,Hatchery,Fall,2001,0
Coho,Hatchery,Fall,2002,0
Coho,Hatchery,Fall,2003,0
Coho,Hatchery,Fall,2004,0
Coho,Hatchery,Fall,2005,0
Coho,Hatchery,Fall,2006,0
Coho,Hatchery,Fall,2007,0
Coho,Hatchery,Fall,2008,0
Coho,Hatchery,Fall,2009,0
Coho,Hatchery,Fall,2010,0
Coho,Hatchery,Fall,2011,0
Coho,Hatchery,Fall,2012,0
Coho,Hatchery,Fall,2013,0
Coho,Hatchery,Fall,2014,0
Coho,Hatchery,Fall,2015,0
Coho,Hatchery,Fall,2016,0
Coho,Hatchery,Fall,2017,0
Coho,Hatchery,Fall,2018,0
Coho,Hatchery,Fall,2019,0
Coho,Hatchery,Fall,2020,0
Pink,Wild,Summer,1997,0
Pink,Wild,Summer,1998,0
Pink,Wild,Summer,1999,0
Pink,Wild,Summer,2000,0
Pink,Wild,Summer,2001,0
Pink,Wild,Summer,2002,0
Pink,Wild,Summer,2003,0
Pink,Wild,Summer,2004,0
Pink,Wild,Summer,2005,0
Pink,Wild,Summer,2006,0
Pink,Wild,Summer,2007,0
Pink,Wild,Summer,2008,0
Pink,Wild,Summer,2009,84
Pink,Wild,Summer,2010,0
Pink,Wild,Summer,2011,1343
Pink,Wild,Summer,2012,0
Pink,Wild,Summer,2013,241
Pink,Wild,Summer,2014,0
Pink,Wild,Summer,2015,0
Pink,Wild,Summer,2016,0
Pink,Wild,Summer,2017,0
Pink,Wild,Summer,2018,0
Pink,Wild,Summer,2019,0
Pink,Wild,Summer,2020,0
