Species,Origin,Run,Year,Count
Chum,Hatchery,nan,1997,12500
Chum,Hatchery,nan,1998,38000
Chum,Hatchery,nan,1999,9772
Chum,Hatchery,nan,2000,2300
Chum,Hatchery,nan,2001,44500
Chum,Hatchery,nan,2002,39682
Chum,Hatchery,nan,2003,61129
Chum,Hatchery,nan,2004,18165
Chum,Hatchery,nan,2005,15582
Chum,Hatchery,nan,2006,27531
Chum,Hatchery,nan,2007,34650
Chum,Hatchery,nan,2008,12683
Chum,Hatchery,nan,2009,17429
Chum,Hatchery,nan,2010,12925
Chum,Hatchery,nan,2011,33097
Chum,Hatchery,nan,2012,26959
Chum,Hatchery,nan,2013,72939
Chum,Hatchery,nan,2014,19581
Chum,Hatchery,nan,2015,44934
Chum,Hatchery,nan,2016,0
Chum,Hatchery,nan,2017,0
Chum,Hatchery,nan,2018,0
Chum,Hatchery,nan,2019,0
Chum,Hatchery,nan,2020,0
Chum,Unknown,nan,1997,0
Chum,Unknown,nan,1998,0
Chum,Unknown,nan,1999,0
Chum,Unknown,nan,2000,0
Chum,Unknown,nan,2001,0
Chum,Unknown,nan,2002,0
Chum,Unknown,nan,2003,0
Chum,Unknown,nan,2004,0
Chum,Unknown,nan,2005,0
Chum,Unknown,nan,2006,0
Chum,Unknown,nan,2007,0
Chum,Unknown,nan,2008,0
Chum,Unknown,nan,2009,0
Chum,Unknown,nan,2010,0
Chum,Unknown,nan,2011,0
Chum,Unknown,nan,2012,0
Chum,Unknown,nan,2013,0
Chum,Unknown,nan,2014,0
Chum,Unknown,nan,2015,0
Chum,Unknown,nan,2016,52396
Chum,Unknown,nan,2017,71547
Chum,Unknown,nan,2018,79086
Chum,Unknown,nan,2019,12499
Chum,Unknown,nan,2020,14471
