Species,Origin,Run,Year,Count
Chinook,Hatchery,Fall,1997,1835
Chinook,Hatchery,Fall,1998,6279
Chinook,Hatchery,Fall,1999,8297
Chinook,Hatchery,Fall,2000,4055
Chinook,Hatchery,Fall,2001,8816
Chinook,Hatchery,Fall,2002,8396
Chinook,Hatchery,Fall,2003,10028
Chinook,Hatchery,Fall,2004,12278
Chinook,Hatchery,Fall,2005,16018
Chinook,Hatchery,Fall,2006,12350
Chinook,Hatchery,Fall,2007,13275
Chinook,Hatchery,Fall,2008,13695
Chinook,Hatchery,Fall,2009,13220
Chinook,Hatchery,Fall,2010,12895
Chinook,Hatchery,Fall,2011,14835
Chinook,Hatchery,Fall,2012,22873
Chinook,Hatchery,Fall,2013,21452
Chinook,Hatchery,Fall,2014,6227
Chinook,Hatchery,Fall,2015,6032
Chinook,Hatchery,Fall,2016,22076
Chinook,Hatchery,Fall,2017,35129
Chinook,Hatchery,Fall,2018,23796
Chinook,Hatchery,Fall,2019,12111
Chinook,Hatchery,Fall,2020,3411
Coho,Hatchery,nan,1997,11500
Coho,Hatchery,nan,1998,2958
Coho,Hatchery,nan,1999,7335
Coho,Hatchery,nan,2000,9457
Coho,Hatchery,nan,2001,23006
Coho,Hatchery,nan,2002,24762
Coho,Hatchery,nan,2003,16721
Coho,Hatchery,nan,2004,15372
Coho,Hatchery,nan,2005,19050
Coho,Hatchery,nan,2006,1726
Coho,Hatchery,nan,2007,6371
Coho,Hatchery,nan,2008,4458
Coho,Hatchery,nan,2009,4170
Coho,Hatchery,nan,2010,1566
Coho,Hatchery,nan,2011,7014
Coho,Hatchery,nan,2012,4228
Coho,Hatchery,nan,2013,7840
Coho,Hatchery,nan,2014,1771
Coho,Hatchery,nan,2015,2719
Coho,Hatchery,nan,2016,5174
Coho,Hatchery,nan,2017,9756
Coho,Hatchery,nan,2018,4813
Coho,Hatchery,nan,2019,5477
Coho,Hatchery,nan,2020,9121
Chum,Hatchery,nan,1997,7176
Chum,Hatchery,nan,1998,25157
Chum,Hatchery,nan,1999,4620
Chum,Hatchery,nan,2000,1589
Chum,Hatchery,nan,2001,36962
Chum,Hatchery,nan,2002,48200
Chum,Hatchery,nan,2003,82501
Chum,Hatchery,nan,2004,15130
Chum,Hatchery,nan,2005,12749
Chum,Hatchery,nan,2006,26050
Chum,Hatchery,nan,2007,28600
Chum,Hatchery,nan,2008,7474
Chum,Hatchery,nan,2009,9132
Chum,Hatchery,nan,2010,1919
Chum,Hatchery,nan,2011,3922
Chum,Hatchery,nan,2012,4563
Chum,Hatchery,nan,2013,12514
Chum,Hatchery,nan,2014,1710
Chum,Hatchery,nan,2015,7872
Chum,Hatchery,nan,2016,0
Chum,Hatchery,nan,2017,0
Chum,Hatchery,nan,2018,0
Chum,Hatchery,nan,2019,0
Chum,Hatchery,nan,2020,0
