Species,Origin,Run,Year,Count
Steelhead,Wild,Winter,1997,0
Steelhead,Wild,Winter,1998,19
Steelhead,Wild,Winter,1999,0
Steelhead,Wild,Winter,2000,0
Steelhead,Wild,Winter,2001,0
Steelhead,Wild,Winter,2002,0
Steelhead,Wild,Winter,2003,0
Steelhead,Wild,Winter,2004,0
Steelhead,Wild,Winter,2005,0
Steelhead,Wild,Winter,2006,0
Steelhead,Wild,Winter,2007,0
Steelhead,Wild,Winter,2008,0
Steelhead,Wild,Winter,2009,48
Steelhead,Wild,Winter,2010,98
Steelhead,Wild,Winter,2011,50
Steelhead,Wild,Winter,2012,0
Steelhead,Wild,Winter,2013,0
Steelhead,Wild,Winter,2014,0
Steelhead,Wild,Winter,2015,0
Steelhead,Wild,Winter,2016,0
Steelhead,Wild,Winter,2017,0
Steelhead,Wild,Winter,2018,0
Steelhead,Wild,Winter,2019,0
Steelhead,Wild,Winter,2020,0
Steelhead,Wild,Winter-Late,1997,0
Steelhead,Wild,Winter-Late,1998,0
Steelhead,Wild,Winter-Late,1999,0
Steelhead,Wild,Winter-Late,2000,0
Steelhead,Wild,Winter-Late,2001,0
Steelhead,Wild,Winter-Late,2002,0
Steelhead,Wild,Winter-Late,2003,0
Steelhead,Wild,Winter-Late,2004,0
Steelhead,Wild,Winter-Late,2005,0
Steelhead,Wild,Winter-Late,2006,0
Steelhead,Wild,Winter-Late,2007,0
Steelhead,Wild,Winter-Late,2008,0
Steelhead,Wild,Winter-Late,2009,0
Steelhead,Wild,Winter-Late,2010,0
Steelhead,Wild,Winter-Late,2011,0
Steelhead,Wild,Winter-Late,2012,67
Steelhead,Wild,Winter-Late,2013,18
Steelhead,Wild,Winter-Late,2014,71
Steelhead,Wild,Winter-Late,2015,0
Steelhead,Wild,Winter-Late,2016,23
Steelhead,Wild,Winter-Late,2017,8
Steelhead,Wild,Winter-Late,2018,5
Steelhead,Wild,Winter-Late,2019,10
Steelhead,Wild,Winter-Late,2020,0
Steelhead,Hatchery,Summer,1997,902
Steelhead,Hatchery,Summer,1998,456
Steelhead,Hatchery,Summer,1999,474
Steelhead,Hatchery,Summer,2000,848
Steelhead,Hatchery,Summer,2001,5529
Steelhead,Hatchery,Summer,2002,0
Steelhead,Hatchery,Summer,2003,1147
Steelhead,Hatchery,Summer,2004,0
Steelhead,Hatchery,Summer,2005,577
Steelhead,Hatchery,Summer,2006,0
Steelhead,Hatchery,Summer,2007,0
Steelhead,Hatchery,Summer,2008,0
Steelhead,Hatchery,Summer,2009,0
Steelhead,Hatchery,Summer,2010,0
Steelhead,Hatchery,Summer,2011,0
Steelhead,Hatchery,Summer,2012,0
Steelhead,Hatchery,Summer,2013,1
Steelhead,Hatchery,Summer,2014,0
Steelhead,Hatchery,Summer,2015,0
Steelhead,Hatchery,Summer,2016,0
Steelhead,Hatchery,Summer,2017,0
Steelhead,Hatchery,Summer,2018,0
Steelhead,Hatchery,Summer,2019,1
Steelhead,Hatchery,Summer,2020,0
Steelhead,Hatchery,Winter,1997,79
Steelhead,Hatchery,Winter,1998,489
Steelhead,Hatchery,Winter,1999,270
Steelhead,Hatchery,Winter,2000,328
Steelhead,Hatchery,Winter,2001,316
Steelhead,Hatchery,Winter,2002,334
Steelhead,Hatchery,Winter,2003,0
Steelhead,Hatchery,Winter,2004,238
Steelhead,Hatchery,Winter,2005,197
Steelhead,Hatchery,Winter,2006,236
Steelhead,Hatchery,Winter,2007,238
Steelhead,Hatchery,Winter,2008,294
Steelhead,Hatchery,Winter,2009,275
Steelhead,Hatchery,Winter,2010,37
Steelhead,Hatchery,Winter,2011,5
Steelhead,Hatchery,Winter,2012,0
Steelhead,Hatchery,Winter,2013,0
Steelhead,Hatchery,Winter,2014,0
Steelhead,Hatchery,Winter,2015,0
Steelhead,Hatchery,Winter,2016,0
Steelhead,Hatchery,Winter,2017,0
Steelhead,Hatchery,Winter,2018,0
Steelhead,Hatchery,Winter,2019,0
Steelhead,Hatchery,Winter,2020,0
