Species,Origin,Run,Year,Count
Chinook,Wild,Spring,1997,0
Chinook,Wild,Spring,1998,50
Chinook,Wild,Spring,1999,2
Chinook,Wild,Spring,2000,10
Chinook,Wild,Spring,2001,44
Chinook,Wild,Spring,2002,42
Chinook,Wild,Spring,2003,41
Chinook,Wild,Spring,2004,51
Chinook,Wild,Spring,2005,50
Chinook,Wild,Spring,2006,35
Chinook,Wild,Spring,2007,51
Chinook,Wild,Spring,2008,40
Chinook,Wild,Spring,2009,85
Chinook,Wild,Spring,2010,0
Chinook,Wild,Spring,2011,0
Chinook,Wild,Spring,2012,0
Chinook,Wild,Spring,2013,0
Chinook,Wild,Spring,2014,0
Chinook,Wild,Spring,2015,0
Chinook,Wild,Spring,2016,0
Chinook,Wild,Spring,2017,0
Chinook,Wild,Spring,2018,0
Chinook,Wild,Spring,2019,0
Chinook,Wild,Spring,2020,0
Chinook,Hatchery,Spring,1997,6879
Chinook,Hatchery,Spring,1998,889
Chinook,Hatchery,Spring,1999,1031
Chinook,Hatchery,Spring,2000,667
Chinook,Hatchery,Spring,2001,36
Chinook,Hatchery,Spring,2002,357
Chinook,Hatchery,Spring,2003,30
Chinook,Hatchery,Spring,2004,422
Chinook,Hatchery,Spring,2005,316
Chinook,Hatchery,Spring,2006,153
Chinook,Hatchery,Spring,2007,30
Chinook,Hatchery,Spring,2008,76
Chinook,Hatchery,Spring,2009,86
Chinook,Hatchery,Spring,2010,0
Chinook,Hatchery,Spring,2011,0
Chinook,Hatchery,Spring,2012,0
Chinook,Hatchery,Spring,2013,0
Chinook,Hatchery,Spring,2014,0
Chinook,Hatchery,Spring,2015,0
Chinook,Hatchery,Spring,2016,0
Chinook,Hatchery,Spring,2017,0
Chinook,Hatchery,Spring,2018,0
Chinook,Hatchery,Spring,2019,0
Chinook,Hatchery,Spring,2020,0
Chinook,Hatchery,Fall,1997,1898
Chinook,Hatchery,Fall,1998,3620
Chinook,Hatchery,Fall,1999,3416
Chinook,Hatchery,Fall,2000,3503
Chinook,Hatchery,Fall,2001,5755
Chinook,Hatchery,Fall,2002,4847
Chinook,Hatchery,Fall,2003,2919
Chinook,Hatchery,Fall,2004,6443
Chinook,Hatchery,Fall,2005,3078
Chinook,Hatchery,Fall,2006,2733
Chinook,Hatchery,Fall,2007,5025
Chinook,Hatchery,Fall,2008,4685
Chinook,Hatchery,Fall,2009,2771
Chinook,Hatchery,Fall,2010,2099
Chinook,Hatchery,Fall,2011,1387
Chinook,Hatchery,Fall,2012,2171
Chinook,Hatchery,Fall,2013,1550
Chinook,Hatchery,Fall,2014,1838
Chinook,Hatchery,Fall,2015,1307
Chinook,Hatchery,Fall,2016,1113
Chinook,Hatchery,Fall,2017,1024
Chinook,Hatchery,Fall,2018,1095
Chinook,Hatchery,Fall,2019,905
Chinook,Hatchery,Fall,2020,1272
Chinook,Unknown,Fall,1997,0
Chinook,Unknown,Fall,1998,0
Chinook,Unknown,Fall,1999,0
Chinook,Unknown,Fall,2000,0
Chinook,Unknown,Fall,2001,0
Chinook,Unknown,Fall,2002,0
Chinook,Unknown,Fall,2003,0
Chinook,Unknown,Fall,2004,0
Chinook,Unknown,Fall,2005,0
Chinook,Unknown,Fall,2006,0
Chinook,Unknown,Fall,2007,0
Chinook,Unknown,Fall,2008,0
Chinook,Unknown,Fall,2009,0
Chinook,Unknown,Fall,2010,856
Chinook,Unknown,Fall,2011,713
