Species,Origin,Run,Year,Count
Chinook,Hatchery,Summer,1997,916
Chinook,Hatchery,Summer,1998,1008
Chinook,Hatchery,Summer,1999,1675
Chinook,Hatchery,Summer,2000,3493
Chinook,Hatchery,Summer,2001,3143
Chinook,Hatchery,Summer,2002,2542
Chinook,Hatchery,Summer,2003,3603
Chinook,Hatchery,Summer,2004,6243
Chinook,Hatchery,Summer,2005,3563
Chinook,Hatchery,Summer,2006,0
Chinook,Hatchery,Summer,2007,0
Chinook,Hatchery,Summer,2008,0
Chinook,Hatchery,Summer,2009,0
Chinook,Hatchery,Summer,2010,2721
Chinook,Hatchery,Summer,2011,3023
Chinook,Hatchery,Summer,2012,6256
Chinook,Hatchery,Summer,2013,4783
Chinook,Hatchery,Summer,2014,4085
Chinook,Hatchery,Summer,2015,3020
Chinook,Hatchery,Summer,2016,7973
Chinook,Hatchery,Summer,2017,6665
Chinook,Hatchery,Summer,2018,4464
Chinook,Hatchery,Summer,2019,4954
Chinook,Hatchery,Summer,2020,3848
Chinook,Hatchery,Fall,1997,2509
Chinook,Hatchery,Fall,1998,3739
Chinook,Hatchery,Fall,1999,4700
Chinook,Hatchery,Fall,2000,1931
Chinook,Hatchery,Fall,2001,0
Chinook,Hatchery,Fall,2002,24
Chinook,Hatchery,Fall,2003,0
Chinook,Hatchery,Fall,2004,0
Chinook,Hatchery,Fall,2005,0
Chinook,Hatchery,Fall,2006,0
Chinook,Hatchery,Fall,2007,0
Chinook,Hatchery,Fall,2008,0
Chinook,Hatchery,Fall,2009,0
Chinook,Hatchery,Fall,2010,0
Chinook,Hatchery,Fall,2011,0
Chinook,Hatchery,Fall,2012,0
Chinook,Hatchery,Fall,2013,0
Chinook,Hatchery,Fall,2014,0
Chinook,Hatchery,Fall,2015,0
Chinook,Hatchery,Fall,2016,0
Chinook,Hatchery,Fall,2017,0
Chinook,Hatchery,Fall,2018,0
Chinook,Hatchery,Fall,2019,0
Chinook,Hatchery,Fall,2020,0
Steelhead,Hatchery,Summer,1997,0
Steelhead,Hatchery,Summer,1998,0
Steelhead,Hatchery,Summer,1999,0
Steelhead,Hatchery,Summer,2000,249
Steelhead,Hatchery,Summer,2001,0
Steelhead,Hatchery,Summer,2002,0
Steelhead,Hatchery,Summer,2003,20
Steelhead,Hatchery,Summer,2004,0
Steelhead,Hatchery,Summer,2005,197
Steelhead,Hatchery,Summer,2006,143
Steelhead,Hatchery,Summer,2007,113
Steelhead,Hatchery,Summer,2008,594
Steelhead,Hatchery,Summer,2009,484
Steelhead,Hatchery,Summer,2010,354
Steelhead,Hatchery,Summer,2011,332
Steelhead,Hatchery,Summer,2012,246
Steelhead,Hatchery,Summer,2013,162
Steelhead,Hatchery,Summer,2014,668
Steelhead,Hatchery,Summer,2015,802
Steelhead,Hatchery,Summer,2016,1029
Steelhead,Hatchery,Summer,2017,337
Steelhead,Hatchery,Summer,2018,406
