Species,Origin,Run,Year,Count
Chinook,Hatchery,Spring,1997,1383
Chinook,Hatchery,Spring,1998,1208
Chinook,Hatchery,Spring,1999,2892
Chinook,Hatchery,Spring,2000,1910
Chinook,Hatchery,Spring,2001,5345
Chinook,Hatchery,Spring,2002,5637
Chinook,Hatchery,Spring,2003,5041
Chinook,Hatchery,Spring,2004,3501
Chinook,Hatchery,Spring,2005,1522
Chinook,Hatchery,Spring,2006,734
Chinook,Hatchery,Spring,2007,600
Chinook,Hatchery,Spring,2008,1201
Chinook,Hatchery,Spring,2009,726
Chinook,Hatchery,Spring,2010,1227
Chinook,Hatchery,Spring,2011,1257
Chinook,Hatchery,Spring,2012,1176
Chinook,Hatchery,Spring,2013,2236
Chinook,Hatchery,Spring,2014,1983
Chinook,Hatchery,Spring,2015,2919
Chinook,Hatchery,Spring,2016,1690
Chinook,Hatchery,Spring,2017,2252
Chinook,Hatchery,Spring,2018,2031
Chinook,Hatchery,Spring,2019,1918
Chinook,Hatchery,Spring,2020,1401
Steelhead,Hatchery,Winter,1997,0
Steelhead,Hatchery,Winter,1998,0
Steelhead,Hatchery,Winter,1999,0
Steelhead,Hatchery,Winter,2000,1
Steelhead,Hatchery,Winter,2001,84
Steelhead,Hatchery,Winter,2002,128
Steelhead,Hatchery,Winter,2003,35
Steelhead,Hatchery,Winter,2004,163
Steelhead,Hatchery,Winter,2005,275
Steelhead,Hatchery,Winter,2006,244
Steelhead,Hatchery,Winter,2007,103
Steelhead,Hatchery,Winter,2008,145
Steelhead,Hatchery,Winter,2009,28
Steelhead,Hatchery,Winter,2010,177
Steelhead,Hatchery,Winter,2011,73
Steelhead,Hatchery,Winter,2012,140
Steelhead,Hatchery,Winter,2013,56
Steelhead,Hatchery,Winter,2014,353
Steelhead,Hatchery,Winter,2015,254
Steelhead,Hatchery,Winter,2016,12
Steelhead,Hatchery,Winter,2017,91
Steelhead,Hatchery,Winter,2018,372
Steelhead,Hatchery,Winter,2019,34
Steelhead,Hatchery,Winter,2020,49
Coho,Wild,nan,1997,0
Coho,Wild,nan,1998,0
Coho,Wild,nan,1999,0
Coho,Wild,nan,2000,0
Coho,Wild,nan,2001,0
Coho,Wild,nan,2002,0
Coho,Wild,nan,2003,0
Coho,Wild,nan,2004,0
Coho,Wild,nan,2005,0
Coho,Wild,nan,2006,0
Coho,Wild,nan,2007,0
Coho,Wild,nan,2008,0
Coho,Wild,nan,2009,0
Coho,Wild,nan,2010,0
Coho,Wild,nan,2011,0
Coho,Wild,nan,2012,0
Coho,Wild,nan,2013,2004
Coho,Wild,nan,2014,1808
Coho,Wild,nan,2015,194
Coho,Wild,nan,2016,1073
Coho,Wild,nan,2017,518
Coho,Wild,nan,2018,377
Coho,Wild,nan,2019,2028
Coho,Wild,nan,2020,742
Coho,Hatchery,nan,1997,11761
Coho,Hatchery,nan,1998,12860
Coho,Hatchery,nan,1999,2836
Coho,Hatchery,nan,2000,2800
Coho,Hatchery,nan,2001,8301
Coho,Hatchery,nan,2002,7476
Coho,Hatchery,nan,2003,4567
Coho,Hatchery,nan,2004,2318
Coho,Hatchery,nan,2005,750
Coho,Hatchery,nan,2006,692
Coho,Hatchery,nan,2007,1028
Coho,Hatchery,nan,2008,385
Coho,Hatchery,nan,2009,518
Coho,Hatchery,nan,2010,3986
Coho,Hatchery,nan,2011,882
Coho,Hatchery,nan,2012,520
Coho,Hatchery,nan,2013,16
Coho,Hatchery,nan,2014,8
Coho,Hatchery,nan,2015,0
Coho,Hatchery,nan,2016,1
Coho,Hatchery,nan,2017,0
Coho,Hatchery,nan,2018,9
Coho,Hatchery,nan,2019,23
Coho,Hatchery,nan,2020,8
Chum,Hatchery,nan,1997,289
Chum,Hatchery,nan,1998,2243
Chum,Hatchery,nan,1999,1439
Chum,Hatchery,nan,2000,311
Chum,Hatchery,nan,2001,3841
Chum,Hatchery,nan,2002,2393
Chum,Hatchery,nan,2003,4528
Chum,Hatchery,nan,2004,5233
Chum,Hatchery,nan,2005,3115
Chum,Hatchery,nan,2006,858
Chum,Hatchery,nan,2007,950
Chum,Hatchery,nan,2008,53
Chum,Hatchery,nan,2009,15
Chum,Hatchery,nan,2010,0
Chum,Hatchery,nan,2011,0
Chum,Hatchery,nan,2012,31
Chum,Hatchery,nan,2013,12
Chum,Hatchery,nan,2014,1036
Chum,Hatchery,nan,2015,836
Chum,Hatchery,nan,2016,0
Chum,Hatchery,nan,2017,0
Chum,Hatchery,nan,2018,0
Chum,Hatchery,nan,2019,0
Chum,Hatchery,nan,2020,0
Chum,Unknown,nan,1997,0
Chum,Unknown,nan,1998,0
Chum,Unknown,nan,1999,0
Chum,Unknown,nan,2000,0
Chum,Unknown,nan,2001,0
Chum,Unknown,nan,2002,0
Chum,Unknown,nan,2003,0
Chum,Unknown,nan,2004,0
Chum,Unknown,nan,2005,0
Chum,Unknown,nan,2006,0
Chum,Unknown,nan,2007,0
Chum,Unknown,nan,2008,0
Chum,Unknown,nan,2009,0
Chum,Unknown,nan,2010,0
Chum,Unknown,nan,2011,0
Chum,Unknown,nan,2012,0
Chum,Unknown,nan,2013,0
Chum,Unknown,nan,2014,0
Chum,Unknown,nan,2015,0
Chum,Unknown,nan,2016,353
Chum,Unknown,nan,2017,990
Chum,Unknown,nan,2018,1884
Chum,Unknown,nan,2019,1168
Chum,Unknown,nan,2020,2591
