Species,Origin,Run,Year,Count
Chinook,Wild,Fall,1997,0
Chinook,Wild,Fall,1998,0
Chinook,Wild,Fall,1999,0
Chinook,Wild,Fall,2000,0
Chinook,Wild,Fall,2001,0
Chinook,Wild,Fall,2002,0
Chinook,Wild,Fall,2003,0
Chinook,Wild,Fall,2004,0
Chinook,Wild,Fall,2005,0
Chinook,Wild,Fall,2006,0
Chinook,Wild,Fall,2007,0
Chinook,Wild,Fall,2008,0
Chinook,Wild,Fall,2009,0
Chinook,Wild,Fall,2010,465
Chinook,Wild,Fall,2011,472
Chinook,Wild,Fall,2012,150
Chinook,Wild,Fall,2013,89
Chinook,Wild,Fall,2014,144
Chinook,Wild,Fall,2015,728
Chinook,Wild,Fall,2016,449
Chinook,Wild,Fall,2017,777
Chinook,Wild,Fall,2018,1040
Chinook,Wild,Fall,2019,575
Chinook,Wild,Fall,2020,884
Chinook,Hatchery,Fall,1997,1528
Chinook,Hatchery,Fall,1998,2208
Chinook,Hatchery,Fall,1999,1998
Chinook,Hatchery,Fall,2000,2306
Chinook,Hatchery,Fall,2001,3148
Chinook,Hatchery,Fall,2002,4513
Chinook,Hatchery,Fall,2003,4162
Chinook,Hatchery,Fall,2004,7567
Chinook,Hatchery,Fall,2005,6618
Chinook,Hatchery,Fall,2006,6796
Chinook,Hatchery,Fall,2007,3877
Chinook,Hatchery,Fall,2008,3941
Chinook,Hatchery,Fall,2009,4843
Chinook,Hatchery,Fall,2010,5530
Chinook,Hatchery,Fall,2011,5145
Chinook,Hatchery,Fall,2012,2431
Chinook,Hatchery,Fall,2013,2723
Chinook,Hatchery,Fall,2014,5121
Chinook,Hatchery,Fall,2015,14156
Chinook,Hatchery,Fall,2016,4532
Chinook,Hatchery,Fall,2017,7098
Chinook,Hatchery,Fall,2018,7623
Chinook,Hatchery,Fall,2019,2299
Chinook,Hatchery,Fall,2020,1241
Steelhead,Wild,Winter,1997,0
Steelhead,Wild,Winter,1998,0
Steelhead,Wild,Winter,1999,0
Steelhead,Wild,Winter,2000,0
Steelhead,Wild,Winter,2001,0
Steelhead,Wild,Winter,2002,7
Steelhead,Wild,Winter,2003,14
Steelhead,Wild,Winter,2004,138
Steelhead,Wild,Winter,2005,20
Steelhead,Wild,Winter,2006,62
Steelhead,Wild,Winter,2007,12
Steelhead,Wild,Winter,2008,13
Steelhead,Wild,Winter,2009,6
Steelhead,Wild,Winter,2010,14
Steelhead,Wild,Winter,2011,8
Steelhead,Wild,Winter,2012,13
Steelhead,Wild,Winter,2013,8
Steelhead,Wild,Winter,2014,3
Steelhead,Wild,Winter,2015,25
Steelhead,Wild,Winter,2016,6
Steelhead,Wild,Winter,2017,0
Steelhead,Wild,Winter,2018,0
Steelhead,Wild,Winter,2019,0
Steelhead,Wild,Winter,2020,0
Steelhead,Hatchery,Winter,1997,18
Steelhead,Hatchery,Winter,1998,120
Steelhead,Hatchery,Winter,1999,61
Steelhead,Hatchery,Winter,2000,305
Steelhead,Hatchery,Winter,2001,359
Steelhead,Hatchery,Winter,2002,321
Steelhead,Hatchery,Winter,2003,655
Steelhead,Hatchery,Winter,2004,996
Steelhead,Hatchery,Winter,2005,748
Steelhead,Hatchery,Winter,2006,1091
Steelhead,Hatchery,Winter,2007,775
Steelhead,Hatchery,Winter,2008,531
Steelhead,Hatchery,Winter,2009,288
Steelhead,Hatchery,Winter,2010,1438
Steelhead,Hatchery,Winter,2011,529
Steelhead,Hatchery,Winter,2012,873
Steelhead,Hatchery,Winter,2013,395
Steelhead,Hatchery,Winter,2014,512
Steelhead,Hatchery,Winter,2015,1037
Steelhead,Hatchery,Winter,2016,1037
Steelhead,Hatchery,Winter,2017,576
Steelhead,Hatchery,Winter,2018,458
Steelhead,Hatchery,Winter,2019,310
Steelhead,Hatchery,Winter,2020,532
Coho,Wild,nan,1997,0
Coho,Wild,nan,1998,0
Coho,Wild,nan,1999,0
Coho,Wild,nan,2000,0
Coho,Wild,nan,2001,0
Coho,Wild,nan,2002,0
Coho,Wild,nan,2003,168
Coho,Wild,nan,2004,70
Coho,Wild,nan,2005,46
Coho,Wild,nan,2006,242
Coho,Wild,nan,2007,74
Coho,Wild,nan,2008,94
Coho,Wild,nan,2009,91
Coho,Wild,nan,2010,82
Coho,Wild,nan,2011,248
Coho,Wild,nan,2012,117
Coho,Wild,nan,2013,182
Coho,Wild,nan,2014,271
Coho,Wild,nan,2015,100
Coho,Wild,nan,2016,177
Coho,Wild,nan,2017,198
Coho,Wild,nan,2018,51
Coho,Wild,nan,2019,334
Coho,Wild,nan,2020,1943
Coho,Wild,Late,1997,0
Coho,Wild,Late,1998,0
Coho,Wild,Late,1999,0
Coho,Wild,Late,2000,0
Coho,Wild,Late,2001,0
Coho,Wild,Late,2002,61
Coho,Wild,Late,2003,99
Coho,Wild,Late,2004,166
Coho,Wild,Late,2005,94
Coho,Wild,Late,2006,71
Coho,Wild,Late,2007,33
Coho,Wild,Late,2008,89
Coho,Wild,Late,2009,214
Coho,Wild,Late,2010,156
Coho,Wild,Late,2011,94
Coho,Wild,Late,2012,111
Coho,Wild,Late,2013,171
Coho,Wild,Late,2014,421
Coho,Wild,Late,2015,125
Coho,Wild,Late,2016,84
Coho,Wild,Late,2017,88
Coho,Wild,Late,2018,98
Coho,Wild,Late,2019,408
Coho,Wild,Late,2020,175
Coho,Hatchery,nan,1997,2220
Coho,Hatchery,nan,1998,2079
Coho,Hatchery,nan,1999,8872
Coho,Hatchery,nan,2000,13713
Coho,Hatchery,nan,2001,15464
Coho,Hatchery,nan,2002,13638
Coho,Hatchery,nan,2003,14599
Coho,Hatchery,nan,2004,6361
Coho,Hatchery,nan,2005,18313
Coho,Hatchery,nan,2006,2842
Coho,Hatchery,nan,2007,3778
Coho,Hatchery,nan,2008,2824
Coho,Hatchery,nan,2009,6967
Coho,Hatchery,nan,2010,7768
Coho,Hatchery,nan,2011,6386
Coho,Hatchery,nan,2012,2099
Coho,Hatchery,nan,2013,1867
Coho,Hatchery,nan,2014,18304
Coho,Hatchery,nan,2015,2879
Coho,Hatchery,nan,2016,4827
Coho,Hatchery,nan,2017,2317
Coho,Hatchery,nan,2018,2774
Coho,Hatchery,nan,2019,7378
Coho,Hatchery,nan,2020,9733
Coho,Hatchery,Late,1997,70
Coho,Hatchery,Late,1998,100
Coho,Hatchery,Late,1999,468
Coho,Hatchery,Late,2000,1772
Coho,Hatchery,Late,2001,756
Coho,Hatchery,Late,2002,2879
Coho,Hatchery,Late,2003,2469
Coho,Hatchery,Late,2004,1565
Coho,Hatchery,Late,2005,611
Coho,Hatchery,Late,2006,498
Coho,Hatchery,Late,2007,294
Coho,Hatchery,Late,2008,530
Coho,Hatchery,Late,2009,380
Coho,Hatchery,Late,2010,2620
Coho,Hatchery,Late,2011,634
Coho,Hatchery,Late,2012,677
Coho,Hatchery,Late,2013,367
Coho,Hatchery,Late,2014,3261
Coho,Hatchery,Late,2015,1563
Coho,Hatchery,Late,2016,2561
Coho,Hatchery,Late,2017,618
Coho,Hatchery,Late,2018,521
Coho,Hatchery,Late,2019,2374
Coho,Hatchery,Late,2020,1583
Chum,Hatchery,nan,1997,0
Chum,Hatchery,nan,1998,0
Chum,Hatchery,nan,1999,0
Chum,Hatchery,nan,2000,0
Chum,Hatchery,nan,2001,0
Chum,Hatchery,nan,2002,0
Chum,Hatchery,nan,2003,0
Chum,Hatchery,nan,2004,0
Chum,Hatchery,nan,2005,3
Chum,Hatchery,nan,2006,23
Chum,Hatchery,nan,2007,4
Chum,Hatchery,nan,2008,42
Chum,Hatchery,nan,2009,84
Chum,Hatchery,nan,2010,257
Chum,Hatchery,nan,2011,46
Chum,Hatchery,nan,2012,298
Chum,Hatchery,nan,2013,487
Chum,Hatchery,nan,2014,128
Chum,Hatchery,nan,2015,1831
Chum,Hatchery,nan,2016,0
Chum,Hatchery,nan,2017,0
Chum,Hatchery,nan,2018,0
Chum,Hatchery,nan,2019,0
Chum,Hatchery,nan,2020,0
Chum,Unknown,nan,1997,0
Chum,Unknown,nan,1998,0
Chum,Unknown,nan,1999,0
Chum,Unknown,nan,2000,0
Chum,Unknown,nan,2001,0
Chum,Unknown,nan,2002,0
Chum,Unknown,nan,2003,0
Chum,Unknown,nan,2004,0
Chum,Unknown,nan,2005,0
Chum,Unknown,nan,2006,0
Chum,Unknown,nan,2007,0
Chum,Unknown,nan,2008,0
Chum,Unknown,nan,2009,0
Chum,Unknown,nan,2010,0
Chum,Unknown,nan,2011,0
Chum,Unknown,nan,2012,0
Chum,Unknown,nan,2013,0
Chum,Unknown,nan,2014,0
Chum,Unknown,nan,2015,0
Chum,Unknown,nan,2016,2039
Chum,Unknown,nan,2017,351
Chum,Unknown,nan,2018,1090
Chum,Unknown,nan,2019,864
Chum,Unknown,nan,2020,3452
