Species,Origin,Run,Year,Count
Steelhead,Wild,Winter-Late,1997,0
Steelhead,Wild,Winter-Late,1998,0
Steelhead,Wild,Winter-Late,1999,0
Steelhead,Wild,Winter-Late,2000,0
Steelhead,Wild,Winter-Late,2001,0
Steelhead,Wild,Winter-Late,2002,0
Steelhead,Wild,Winter-Late,2003,0
Steelhead,Wild,Winter-Late,2004,0
Steelhead,Wild,Winter-Late,2005,0
Steelhead,Wild,Winter-Late,2006,0
Steelhead,Wild,Winter-Late,2007,0
Steelhead,Wild,Winter-Late,2008,0
Steelhead,Wild,Winter-Late,2009,0
Steelhead,Wild,Winter-Late,2010,0
Steelhead,Wild,Winter-Late,2011,0
Steelhead,Wild,Winter-Late,2012,0
Steelhead,Wild,Winter-Late,2013,0
Steelhead,Wild,Winter-Late,2014,0
Steelhead,Wild,Winter-Late,2015,118
Steelhead,Wild,Winter-Late,2016,168
Steelhead,Wild,Winter-Late,2017,123
Steelhead,Wild,Winter-Late,2018,129
Steelhead,Wild,Winter-Late,2019,121
Steelhead,Wild,Winter-Late,2020,0
Steelhead,Hatchery,Summer,1997,1474
Steelhead,Hatchery,Summer,1998,1209
Steelhead,Hatchery,Summer,1999,633
Steelhead,Hatchery,Summer,2000,1962
Steelhead,Hatchery,Summer,2001,3510
Steelhead,Hatchery,Summer,2002,3402
Steelhead,Hatchery,Summer,2003,4946
Steelhead,Hatchery,Summer,2004,4363
Steelhead,Hatchery,Summer,2005,1413
Steelhead,Hatchery,Summer,2006,1573
Steelhead,Hatchery,Summer,2007,886
Steelhead,Hatchery,Summer,2008,1623
Steelhead,Hatchery,Summer,2009,1041
Steelhead,Hatchery,Summer,2010,0
Steelhead,Hatchery,Summer,2011,0
Steelhead,Hatchery,Summer,2012,0
Steelhead,Hatchery,Summer,2013,0
Steelhead,Hatchery,Summer,2014,884
Steelhead,Hatchery,Summer,2015,893
Steelhead,Hatchery,Summer,2016,909
Steelhead,Hatchery,Summer,2017,858
Steelhead,Hatchery,Summer,2018,1067
Steelhead,Hatchery,Summer,2019,0
Steelhead,Hatchery,Summer,2020,0
Steelhead,Hatchery,Winter,1997,360
Steelhead,Hatchery,Winter,1998,1427
Steelhead,Hatchery,Winter,1999,2224
Steelhead,Hatchery,Winter,2000,3014
Steelhead,Hatchery,Winter,2001,3437
Steelhead,Hatchery,Winter,2002,5060
Steelhead,Hatchery,Winter,2003,2339
Steelhead,Hatchery,Winter,2004,2266
Steelhead,Hatchery,Winter,2005,1951
Steelhead,Hatchery,Winter,2006,2297
Steelhead,Hatchery,Winter,2007,460
Steelhead,Hatchery,Winter,2008,673
Steelhead,Hatchery,Winter,2009,496
Steelhead,Hatchery,Winter,2010,80
Steelhead,Hatchery,Winter,2011,0
Steelhead,Hatchery,Winter,2012,0
Steelhead,Hatchery,Winter,2013,0
Steelhead,Hatchery,Winter,2014,0
Steelhead,Hatchery,Winter,2015,0
Steelhead,Hatchery,Winter,2016,0
Steelhead,Hatchery,Winter,2017,0
Steelhead,Hatchery,Winter,2018,0
Steelhead,Hatchery,Winter,2019,0
Steelhead,Hatchery,Winter,2020,0
Steelhead,Hatchery,Winter-Late,1997,0
Steelhead,Hatchery,Winter-Late,1998,0
Steelhead,Hatchery,Winter-Late,1999,0
Steelhead,Hatchery,Winter-Late,2000,0
Steelhead,Hatchery,Winter-Late,2001,514
Steelhead,Hatchery,Winter-Late,2002,624
Steelhead,Hatchery,Winter-Late,2003,763
Steelhead,Hatchery,Winter-Late,2004,518
Steelhead,Hatchery,Winter-Late,2005,6
Steelhead,Hatchery,Winter-Late,2006,816
Steelhead,Hatchery,Winter-Late,2007,398
Steelhead,Hatchery,Winter-Late,2008,569
Steelhead,Hatchery,Winter-Late,2009,553
Steelhead,Hatchery,Winter-Late,2010,0
Steelhead,Hatchery,Winter-Late,2011,0
Steelhead,Hatchery,Winter-Late,2012,0
Steelhead,Hatchery,Winter-Late,2013,0
Steelhead,Hatchery,Winter-Late,2014,0
Steelhead,Hatchery,Winter-Late,2015,614
Steelhead,Hatchery,Winter-Late,2016,336
Steelhead,Hatchery,Winter-Late,2017,316
Steelhead,Hatchery,Winter-Late,2018,705
Steelhead,Hatchery,Winter-Late,2019,412
Steelhead,Hatchery,Winter-Late,2020,0
Coho,Hatchery,Type N,1997,127
Coho,Hatchery,Type N,1998,542
Coho,Hatchery,Type N,1999,222
Coho,Hatchery,Type N,2000,91
Coho,Hatchery,Type N,2001,352
Coho,Hatchery,Type N,2002,69
Coho,Hatchery,Type N,2003,111
Coho,Hatchery,Type N,2004,124
Coho,Hatchery,Type N,2005,11
Coho,Hatchery,Type N,2006,11
Coho,Hatchery,Type N,2007,0
Coho,Hatchery,Type N,2008,0
Coho,Hatchery,Type N,2009,0
Coho,Hatchery,Type N,2010,0
Coho,Hatchery,Type N,2011,0
Coho,Hatchery,Type N,2012,0
Coho,Hatchery,Type N,2013,0
Coho,Hatchery,Type N,2014,0
Coho,Hatchery,Type N,2015,0
Coho,Hatchery,Type N,2016,0
Coho,Hatchery,Type N,2017,0
Coho,Hatchery,Type N,2018,0
Coho,Hatchery,Type N,2019,0
Coho,Hatchery,Type N,2020,0
