Species,Origin,Run,Year,Count
Chinook,Hatchery,Fall,1997,320
Chinook,Hatchery,Fall,1998,294
Chinook,Hatchery,Fall,1999,278
Chinook,Hatchery,Fall,2000,171
Chinook,Hatchery,Fall,2001,175
Chinook,Hatchery,Fall,2002,405
Chinook,Hatchery,Fall,2003,614
Chinook,Hatchery,Fall,2004,474
Chinook,Hatchery,Fall,2005,770
Chinook,Hatchery,Fall,2006,1476
Chinook,Hatchery,Fall,2007,363
Chinook,Hatchery,Fall,2008,0
Chinook,Hatchery,Fall,2009,467
Chinook,Hatchery,Fall,2010,277
Chinook,Hatchery,Fall,2011,727
Chinook,Hatchery,Fall,2012,617
Chinook,Hatchery,Fall,2013,331
Chinook,Hatchery,Fall,2014,1256
Chinook,Hatchery,Fall,2015,1361
Chinook,Hatchery,Fall,2016,627
Chinook,Hatchery,Fall,2017,1489
Chinook,Hatchery,Fall,2018,650
Chinook,Hatchery,Fall,2019,801
Chinook,Hatchery,Fall,2020,625
Steelhead,Hatchery,Summer,1997,27
Steelhead,Hatchery,Summer,1998,246
Steelhead,Hatchery,Summer,1999,18
Steelhead,Hatchery,Summer,2000,164
Steelhead,Hatchery,Summer,2001,0
Steelhead,Hatchery,Summer,2002,11
Steelhead,Hatchery,Summer,2003,0
Steelhead,Hatchery,Summer,2004,0
Steelhead,Hatchery,Summer,2005,0
Steelhead,Hatchery,Summer,2006,39
Steelhead,Hatchery,Summer,2007,80
Steelhead,Hatchery,Summer,2008,72
Steelhead,Hatchery,Summer,2009,112
Steelhead,Hatchery,Summer,2010,50
Steelhead,Hatchery,Summer,2011,75
Steelhead,Hatchery,Summer,2012,125
Steelhead,Hatchery,Summer,2013,67
Steelhead,Hatchery,Summer,2014,128
Steelhead,Hatchery,Summer,2015,176
Steelhead,Hatchery,Summer,2016,354
Steelhead,Hatchery,Summer,2017,140
Steelhead,Hatchery,Summer,2018,502
Steelhead,Hatchery,Summer,2019,63
Steelhead,Hatchery,Summer,2020,167
Steelhead,Hatchery,Winter,1997,134
Steelhead,Hatchery,Winter,1998,818
Steelhead,Hatchery,Winter,1999,776
Steelhead,Hatchery,Winter,2000,640
Steelhead,Hatchery,Winter,2001,487
Steelhead,Hatchery,Winter,2002,1327
Steelhead,Hatchery,Winter,2003,1392
Steelhead,Hatchery,Winter,2004,1079
Steelhead,Hatchery,Winter,2005,478
Steelhead,Hatchery,Winter,2006,1455
Steelhead,Hatchery,Winter,2007,578
Steelhead,Hatchery,Winter,2008,94
Steelhead,Hatchery,Winter,2009,176
Steelhead,Hatchery,Winter,2010,351
Steelhead,Hatchery,Winter,2011,488
Steelhead,Hatchery,Winter,2012,1261
Steelhead,Hatchery,Winter,2013,695
Steelhead,Hatchery,Winter,2014,729
Steelhead,Hatchery,Winter,2015,1464
Steelhead,Hatchery,Winter,2016,861
Steelhead,Hatchery,Winter,2017,650
Steelhead,Hatchery,Winter,2018,1232
Steelhead,Hatchery,Winter,2019,258
Steelhead,Hatchery,Winter,2020,628
Coho,Wild,nan,1997,0
Coho,Wild,nan,1998,0
