Species,Origin,Run,Year,Count
Chinook,Hatchery,Fall,1997,0
Chinook,Hatchery,Fall,1998,0
Chinook,Hatchery,Fall,1999,0
Chinook,Hatchery,Fall,2000,0
Chinook,Hatchery,Fall,2001,0
Chinook,Hatchery,Fall,2002,0
Chinook,Hatchery,Fall,2003,0
Chinook,Hatchery,Fall,2004,0
Chinook,Hatchery,Fall,2005,0
Chinook,Hatchery,Fall,2006,0
Chinook,Hatchery,Fall,2007,0
Chinook,Hatchery,Fall,2008,0
Chinook,Hatchery,Fall,2009,0
Chinook,Hatchery,Fall,2010,823
Chinook,Hatchery,Fall,2011,906
Chinook,Hatchery,Fall,2012,917
Chinook,Hatchery,Fall,2013,1617
Chinook,Hatchery,Fall,2014,1531
Chinook,Hatchery,Fall,2015,1556
Chinook,Hatchery,Fall,2016,605
Chinook,Hatchery,Fall,2017,1081
Chinook,Hatchery,Fall,2018,2366
Chinook,Hatchery,Fall,2019,1903
Chinook,Hatchery,Fall,2020,659
Steelhead,Hatchery,Winter,1997,0
Steelhead,Hatchery,Winter,1998,0
Steelhead,Hatchery,Winter,1999,0
Steelhead,Hatchery,Winter,2000,0
Steelhead,Hatchery,Winter,2001,112
Steelhead,Hatchery,Winter,2002,400
Steelhead,Hatchery,Winter,2003,0
Steelhead,Hatchery,Winter,2004,0
Steelhead,Hatchery,Winter,2005,0
Steelhead,Hatchery,Winter,2006,0
Steelhead,Hatchery,Winter,2007,0
Steelhead,Hatchery,Winter,2008,0
Steelhead,Hatchery,Winter,2009,0
Steelhead,Hatchery,Winter,2010,0
Steelhead,Hatchery,Winter,2011,0
Steelhead,Hatchery,Winter,2012,9
Steelhead,Hatchery,Winter,2013,30
Steelhead,Hatchery,Winter,2014,4
Steelhead,Hatchery,Winter,2015,0
Steelhead,Hatchery,Winter,2016,0
Steelhead,Hatchery,Winter,2017,0
Steelhead,Hatchery,Winter,2018,0
Steelhead,Hatchery,Winter,2019,0
Steelhead,Hatchery,Winter,2020,0
Coho,Wild,nan,1997,0
Coho,Wild,nan,1998,0
Coho,Wild,nan,1999,0
Coho,Wild,nan,2000,0
Coho,Wild,nan,2001,0
Coho,Wild,nan,2002,0
Coho,Wild,nan,2003,0
Coho,Wild,nan,2004,0
Coho,Wild,nan,2005,0
Coho,Wild,nan,2006,0
Coho,Wild,nan,2007,0
Coho,Wild,nan,2008,0
Coho,Wild,nan,2009,0
Coho,Wild,nan,2010,0
Coho,Wild,nan,2011,0
Coho,Wild,nan,2012,56
Coho,Wild,nan,2013,180
Coho,Wild,nan,2014,52
Coho,Wild,nan,2015,4
Coho,Wild,nan,2016,0
Coho,Wild,nan,2017,0
Coho,Wild,nan,2018,0
Coho,Wild,nan,2019,0
Coho,Wild,nan,2020,0
Coho,Hatchery,nan,1997,0
Coho,Hatchery,nan,1998,0
Coho,Hatchery,nan,1999,0
Coho,Hatchery,nan,2000,0
Coho,Hatchery,nan,2001,35
Coho,Hatchery,nan,2002,2200
Coho,Hatchery,nan,2003,0
Coho,Hatchery,nan,2004,0
Coho,Hatchery,nan,2005,0
Coho,Hatchery,nan,2006,0
Coho,Hatchery,nan,2007,0
Coho,Hatchery,nan,2008,0
Coho,Hatchery,nan,2009,0
Coho,Hatchery,nan,2010,0
Coho,Hatchery,nan,2011,0
Coho,Hatchery,nan,2012,188
Coho,Hatchery,nan,2013,665
Coho,Hatchery,nan,2014,42
Coho,Hatchery,nan,2015,0
Coho,Hatchery,nan,2016,0
Coho,Hatchery,nan,2017,106
Coho,Hatchery,nan,2018,0
Coho,Hatchery,nan,2019,0
Coho,Hatchery,nan,2020,0
Chum,Wild,nan,1997,0
Chum,Wild,nan,1998,0
Chum,Wild,nan,1999,0
Chum,Wild,nan,2000,0
Chum,Wild,nan,2001,0
Chum,Wild,nan,2002,0
Chum,Wild,nan,2003,0
Chum,Wild,nan,2004,0
Chum,Wild,nan,2005,0
Chum,Wild,nan,2006,0
Chum,Wild,nan,2007,0
Chum,Wild,nan,2008,0
Chum,Wild,nan,2009,0
Chum,Wild,nan,2010,0
Chum,Wild,nan,2011,0
Chum,Wild,nan,2012,233
Chum,Wild,nan,2013,92
Chum,Wild,nan,2014,104
Chum,Wild,nan,2015,109
Chum,Wild,nan,2016,0
Chum,Wild,nan,2017,0
Chum,Wild,nan,2018,0
Chum,Wild,nan,2019,0
Chum,Wild,nan,2020,0
