Species,Origin,Run,Year,Count
Steelhead,Hatchery,Summer,1997,0
Steelhead,Hatchery,Summer,1998,0
Steelhead,Hatchery,Summer,1999,0
Steelhead,Hatchery,Summer,2000,0
Steelhead,Hatchery,Summer,2001,0
Steelhead,Hatchery,Summer,2002,0
Steelhead,Hatchery,Summer,2003,0
Steelhead,Hatchery,Summer,2004,0
Steelhead,Hatchery,Summer,2005,0
Steelhead,Hatchery,Summer,2006,0
Steelhead,Hatchery,Summer,2007,0
Steelhead,Hatchery,Summer,2008,0
Steelhead,Hatchery,Summer,2009,0
Steelhead,Hatchery,Summer,2010,0
Steelhead,Hatchery,Summer,2011,0
Steelhead,Hatchery,Summer,2012,21
Steelhead,Hatchery,Summer,2013,36
Steelhead,Hatchery,Summer,2014,17
Steelhead,Hatchery,Summer,2015,0
Steelhead,Hatchery,Summer,2016,0
Steelhead,Hatchery,Summer,2017,45
Steelhead,Hatchery,Summer,2018,0
Steelhead,Hatchery,Summer,2019,0
Steelhead,Hatchery,Summer,2020,44
Steelhead,Hatchery,Winter,1997,0
Steelhead,Hatchery,Winter,1998,0
Steelhead,Hatchery,Winter,1999,0
Steelhead,Hatchery,Winter,2000,0
Steelhead,Hatchery,Winter,2001,0
Steelhead,Hatchery,Winter,2002,0
Steelhead,Hatchery,Winter,2003,0
Steelhead,Hatchery,Winter,2004,0
Steelhead,Hatchery,Winter,2005,0
Steelhead,Hatchery,Winter,2006,0
Steelhead,Hatchery,Winter,2007,0
Steelhead,Hatchery,Winter,2008,0
Steelhead,Hatchery,Winter,2009,0
Steelhead,Hatchery,Winter,2010,0
Steelhead,Hatchery,Winter,2011,0
Steelhead,Hatchery,Winter,2012,4
Steelhead,Hatchery,Winter,2013,35
Steelhead,Hatchery,Winter,2014,42
Steelhead,Hatchery,Winter,2015,14
Steelhead,Hatchery,Winter,2016,52
Steelhead,Hatchery,Winter,2017,0
Steelhead,Hatchery,Winter,2018,0
Steelhead,Hatchery,Winter,2019,0
Steelhead,Hatchery,Winter,2020,0
