Species,Origin,Run,Year,Count
Sockeye,Hatchery,nan,1997,3034
Sockeye,Hatchery,nan,1998,3059
Sockeye,Hatchery,nan,1999,3548
Sockeye,Hatchery,nan,2000,10304
Sockeye,Hatchery,nan,2001,4939
Sockeye,Hatchery,nan,2002,4023
Sockeye,Hatchery,nan,2003,19936
Sockeye,Hatchery,nan,2004,9087
Sockeye,Hatchery,nan,2005,3188
Sockeye,Hatchery,nan,2006,8323
Sockeye,Hatchery,nan,2007,2763
Sockeye,Hatchery,nan,2008,3211
Sockeye,Hatchery,nan,2009,6476
Sockeye,Hatchery,nan,2010,3741
Sockeye,Hatchery,nan,2011,5079
Sockeye,Hatchery,nan,2012,6054
Sockeye,Hatchery,nan,2013,5884
Sockeye,Hatchery,nan,2014,6122
Sockeye,Hatchery,nan,2015,6118
Sockeye,Hatchery,nan,2016,0
Sockeye,Hatchery,nan,2017,0
Sockeye,Hatchery,nan,2018,0
Sockeye,Hatchery,nan,2019,8327
Sockeye,Hatchery,nan,2020,0
Sockeye,Unknown,nan,1997,0
Sockeye,Unknown,nan,1998,0
Sockeye,Unknown,nan,1999,0
Sockeye,Unknown,nan,2000,0
Sockeye,Unknown,nan,2001,0
Sockeye,Unknown,nan,2002,0
Sockeye,Unknown,nan,2003,0
Sockeye,Unknown,nan,2004,0
Sockeye,Unknown,nan,2005,0
Sockeye,Unknown,nan,2006,0
Sockeye,Unknown,nan,2007,0
Sockeye,Unknown,nan,2008,0
Sockeye,Unknown,nan,2009,0
Sockeye,Unknown,nan,2010,0
Sockeye,Unknown,nan,2011,0
Sockeye,Unknown,nan,2012,0
Sockeye,Unknown,nan,2013,0
Sockeye,Unknown,nan,2014,0
Sockeye,Unknown,nan,2015,0
Sockeye,Unknown,nan,2016,7506
Sockeye,Unknown,nan,2017,7587
Sockeye,Unknown,nan,2018,9011
Sockeye,Unknown,nan,2019,0
Sockeye,Unknown,nan,2020,8010
Coho,Wild,nan,1997,0
Coho,Wild,nan,1998,0
Coho,Wild,nan,1999,0
Coho,Wild,nan,2000,0
Coho,Wild,nan,2001,0
Coho,Wild,nan,2002,0
Coho,Wild,nan,2003,0
Coho,Wild,nan,2004,0
Coho,Wild,nan,2005,0
Coho,Wild,nan,2006,0
Coho,Wild,nan,2007,0
Coho,Wild,nan,2008,0
Coho,Wild,nan,2009,0
Coho,Wild,nan,2010,207
Coho,Wild,nan,2011,162
Coho,Wild,nan,2012,199
Coho,Wild,nan,2013,226
Coho,Wild,nan,2014,196
Coho,Wild,nan,2015,209
Coho,Wild,nan,2016,0
Coho,Wild,nan,2017,0
Coho,Wild,nan,2018,0
Coho,Wild,nan,2019,0
Coho,Wild,nan,2020,0
Coho,Unknown,nan,1997,0
Coho,Unknown,nan,1998,0
Coho,Unknown,nan,1999,0
Coho,Unknown,nan,2000,0
Coho,Unknown,nan,2001,0
Coho,Unknown,nan,2002,0
Coho,Unknown,nan,2003,0
Coho,Unknown,nan,2004,0
Coho,Unknown,nan,2005,0
Coho,Unknown,nan,2006,0
Coho,Unknown,nan,2007,0
Coho,Unknown,nan,2008,0
Coho,Unknown,nan,2009,0
Coho,Unknown,nan,2010,0
Coho,Unknown,nan,2011,0
Coho,Unknown,nan,2012,0
Coho,Unknown,nan,2013,0
Coho,Unknown,nan,2014,0
Coho,Unknown,nan,2015,0
Coho,Unknown,nan,2016,253
Coho,Unknown,nan,2017,255
Coho,Unknown,nan,2018,202
Coho,Unknown,nan,2019,205
Coho,Unknown,nan,2020,201
