Species,Origin,Run,Year,Count
Steelhead,Wild,Winter-Late,1997,0
Steelhead,Wild,Winter-Late,1998,0
Steelhead,Wild,Winter-Late,1999,0
Steelhead,Wild,Winter-Late,2000,0
Steelhead,Wild,Winter-Late,2001,0
Steelhead,Wild,Winter-Late,2002,0
Steelhead,Wild,Winter-Late,2003,0
Steelhead,Wild,Winter-Late,2004,0
Steelhead,Wild,Winter-Late,2005,0
Steelhead,Wild,Winter-Late,2006,0
Steelhead,Wild,Winter-Late,2007,0
Steelhead,Wild,Winter-Late,2008,0
Steelhead,Wild,Winter-Late,2009,0
Steelhead,Wild,Winter-Late,2010,0
Steelhead,Wild,Winter-Late,2011,90
Steelhead,Wild,Winter-Late,2012,147
Steelhead,Wild,Winter-Late,2013,109
Steelhead,Wild,Winter-Late,2014,84
Steelhead,Wild,Winter-Late,2015,164
Steelhead,Wild,Winter-Late,2016,46
Steelhead,Wild,Winter-Late,2017,48
Steelhead,Wild,Winter-Late,2018,29
Steelhead,Wild,Winter-Late,2019,26
Steelhead,Wild,Winter-Late,2020,33
Steelhead,Hatchery,Winter-Late,1997,0
Steelhead,Hatchery,Winter-Late,1998,0
Steelhead,Hatchery,Winter-Late,1999,0
Steelhead,Hatchery,Winter-Late,2000,0
Steelhead,Hatchery,Winter-Late,2001,0
Steelhead,Hatchery,Winter-Late,2002,0
Steelhead,Hatchery,Winter-Late,2003,0
Steelhead,Hatchery,Winter-Late,2004,0
Steelhead,Hatchery,Winter-Late,2005,0
Steelhead,Hatchery,Winter-Late,2006,0
Steelhead,Hatchery,Winter-Late,2007,0
Steelhead,Hatchery,Winter-Late,2008,0
Steelhead,Hatchery,Winter-Late,2009,0
Steelhead,Hatchery,Winter-Late,2010,0
Steelhead,Hatchery,Winter-Late,2011,1244
Steelhead,Hatchery,Winter-Late,2012,2182
Steelhead,Hatchery,Winter-Late,2013,2265
Steelhead,Hatchery,Winter-Late,2014,1887
Steelhead,Hatchery,Winter-Late,2015,2904
Steelhead,Hatchery,Winter-Late,2016,1489
Steelhead,Hatchery,Winter-Late,2017,1817
Steelhead,Hatchery,Winter-Late,2018,2420
Steelhead,Hatchery,Winter-Late,2019,612
Steelhead,Hatchery,Winter-Late,2020,1793
Coho,Wild,nan,1997,0
Coho,Wild,nan,1998,0
Coho,Wild,nan,1999,0
Coho,Wild,nan,2000,0
Coho,Wild,nan,2001,0
Coho,Wild,nan,2002,0
Coho,Wild,nan,2003,0
Coho,Wild,nan,2004,0
Coho,Wild,nan,2005,0
Coho,Wild,nan,2006,0
Coho,Wild,nan,2007,8
Coho,Wild,nan,2008,32
Coho,Wild,nan,2009,0
Coho,Wild,nan,2010,27
Coho,Wild,nan,2011,50
Coho,Wild,nan,2012,119
Coho,Wild,nan,2013,56
Coho,Wild,nan,2014,102
Coho,Wild,nan,2015,14
Coho,Wild,nan,2016,5
Coho,Wild,nan,2017,6
Coho,Wild,nan,2018,9
Coho,Wild,nan,2019,21
Coho,Wild,nan,2020,4
Coho,Wild,Late,1997,0
Coho,Wild,Late,1998,0
Coho,Wild,Late,1999,0
Coho,Wild,Late,2000,0
Coho,Wild,Late,2001,0
Coho,Wild,Late,2002,0
Coho,Wild,Late,2003,0
Coho,Wild,Late,2004,0
Coho,Wild,Late,2005,0
Coho,Wild,Late,2006,0
Coho,Wild,Late,2007,1
Coho,Wild,Late,2008,2
Coho,Wild,Late,2009,4
Coho,Wild,Late,2010,0
Coho,Wild,Late,2011,117
Coho,Wild,Late,2012,20
Coho,Wild,Late,2013,21
Coho,Wild,Late,2014,18
Coho,Wild,Late,2015,64
Coho,Wild,Late,2016,8
Coho,Wild,Late,2017,3
Coho,Wild,Late,2018,5
Coho,Wild,Late,2019,6
Coho,Wild,Late,2020,13
Coho,Hatchery,nan,1997,0
Coho,Hatchery,nan,1998,0
Coho,Hatchery,nan,1999,0
Coho,Hatchery,nan,2000,0
Coho,Hatchery,nan,2001,0
Coho,Hatchery,nan,2002,0
Coho,Hatchery,nan,2003,0
Coho,Hatchery,nan,2004,0
Coho,Hatchery,nan,2005,0
Coho,Hatchery,nan,2006,0
Coho,Hatchery,nan,2007,115
Coho,Hatchery,nan,2008,324
Coho,Hatchery,nan,2009,0
Coho,Hatchery,nan,2010,1560
Coho,Hatchery,nan,2011,1272
Coho,Hatchery,nan,2012,1118
Coho,Hatchery,nan,2013,1484
Coho,Hatchery,nan,2014,1964
Coho,Hatchery,nan,2015,654
Coho,Hatchery,nan,2016,1090
Coho,Hatchery,nan,2017,1007
Coho,Hatchery,nan,2018,706
Coho,Hatchery,nan,2019,472
Coho,Hatchery,nan,2020,425
Coho,Hatchery,Late,1997,0
Coho,Hatchery,Late,1998,0
Coho,Hatchery,Late,1999,0
Coho,Hatchery,Late,2000,0
Coho,Hatchery,Late,2001,0
Coho,Hatchery,Late,2002,0
Coho,Hatchery,Late,2003,0
Coho,Hatchery,Late,2004,0
Coho,Hatchery,Late,2005,0
Coho,Hatchery,Late,2006,0
Coho,Hatchery,Late,2007,15
Coho,Hatchery,Late,2008,79
Coho,Hatchery,Late,2009,36
Coho,Hatchery,Late,2010,1562
Coho,Hatchery,Late,2011,2534
Coho,Hatchery,Late,2012,612
Coho,Hatchery,Late,2013,257
Coho,Hatchery,Late,2014,461
Coho,Hatchery,Late,2015,619
Coho,Hatchery,Late,2016,395
Coho,Hatchery,Late,2017,165
Coho,Hatchery,Late,2018,76
Coho,Hatchery,Late,2019,134
Coho,Hatchery,Late,2020,155
