Species,Origin,Run,Year,Count
Steelhead,Hatchery,Summer,1997,670
Steelhead,Hatchery,Summer,1998,404
Steelhead,Hatchery,Summer,1999,416
Steelhead,Hatchery,Summer,2000,402
Steelhead,Hatchery,Summer,2001,575
Steelhead,Hatchery,Summer,2002,385
Steelhead,Hatchery,Summer,2003,655
Steelhead,Hatchery,Summer,2004,443
Steelhead,Hatchery,Summer,2005,455
Steelhead,Hatchery,Summer,2006,504
Steelhead,Hatchery,Summer,2007,600
Steelhead,Hatchery,Summer,2008,467
Steelhead,Hatchery,Summer,2009,676
Steelhead,Hatchery,Summer,2010,122
Steelhead,Hatchery,Summer,2011,534
Steelhead,Hatchery,Summer,2012,433
Steelhead,Hatchery,Summer,2013,453
Steelhead,Hatchery,Summer,2014,217
Steelhead,Hatchery,Summer,2015,807
Steelhead,Hatchery,Summer,2016,609
Steelhead,Hatchery,Summer,2017,451
Steelhead,Hatchery,Summer,2018,559
Steelhead,Hatchery,Summer,2019,92
Steelhead,Hatchery,Summer,2020,121
Steelhead,Hatchery,Winter,1997,0
Steelhead,Hatchery,Winter,1998,173
Steelhead,Hatchery,Winter,1999,0
Steelhead,Hatchery,Winter,2000,0
Steelhead,Hatchery,Winter,2001,0
Steelhead,Hatchery,Winter,2002,0
Steelhead,Hatchery,Winter,2003,65
Steelhead,Hatchery,Winter,2004,318
Steelhead,Hatchery,Winter,2005,126
Steelhead,Hatchery,Winter,2006,47
Steelhead,Hatchery,Winter,2007,28
Steelhead,Hatchery,Winter,2008,44
Steelhead,Hatchery,Winter,2009,98
Steelhead,Hatchery,Winter,2010,88
Steelhead,Hatchery,Winter,2011,181
Steelhead,Hatchery,Winter,2012,509
Steelhead,Hatchery,Winter,2013,576
Steelhead,Hatchery,Winter,2014,570
Steelhead,Hatchery,Winter,2015,492
Steelhead,Hatchery,Winter,2016,555
Steelhead,Hatchery,Winter,2017,687
Steelhead,Hatchery,Winter,2018,577
Steelhead,Hatchery,Winter,2019,105
Steelhead,Hatchery,Winter,2020,93
