Species,Origin,Run,Year,Count
Chinook,Hatchery,Fall,1997,609
Chinook,Hatchery,Fall,1998,879
Chinook,Hatchery,Fall,1999,0
Chinook,Hatchery,Fall,2000,0
Chinook,Hatchery,Fall,2001,0
Chinook,Hatchery,Fall,2002,352
Chinook,Hatchery,Fall,2003,0
Chinook,Hatchery,Fall,2004,0
Chinook,Hatchery,Fall,2005,0
Chinook,Hatchery,Fall,2006,0
Chinook,Hatchery,Fall,2007,0
Chinook,Hatchery,Fall,2008,0
Chinook,Hatchery,Fall,2009,0
Chinook,Hatchery,Fall,2010,0
Chinook,Hatchery,Fall,2011,0
Chinook,Hatchery,Fall,2012,23
Chinook,Hatchery,Fall,2013,108
Chinook,Hatchery,Fall,2014,63
Chinook,Hatchery,Fall,2015,30
Chinook,Hatchery,Fall,2016,0
Chinook,Hatchery,Fall,2017,0
Chinook,Hatchery,Fall,2018,0
Chinook,Hatchery,Fall,2019,0
Chinook,Hatchery,Fall,2020,0
Steelhead,Hatchery,Winter,1997,0
Steelhead,Hatchery,Winter,1998,21
Steelhead,Hatchery,Winter,1999,2
Steelhead,Hatchery,Winter,2000,0
Steelhead,Hatchery,Winter,2001,0
Steelhead,Hatchery,Winter,2002,0
Steelhead,Hatchery,Winter,2003,0
Steelhead,Hatchery,Winter,2004,0
Steelhead,Hatchery,Winter,2005,0
Steelhead,Hatchery,Winter,2006,0
Steelhead,Hatchery,Winter,2007,0
Steelhead,Hatchery,Winter,2008,0
Steelhead,Hatchery,Winter,2009,0
Steelhead,Hatchery,Winter,2010,0
Steelhead,Hatchery,Winter,2011,0
Steelhead,Hatchery,Winter,2012,1
Steelhead,Hatchery,Winter,2013,17
Steelhead,Hatchery,Winter,2014,17
Steelhead,Hatchery,Winter,2015,25
Steelhead,Hatchery,Winter,2016,1
Steelhead,Hatchery,Winter,2017,0
Steelhead,Hatchery,Winter,2018,0
Steelhead,Hatchery,Winter,2019,0
Steelhead,Hatchery,Winter,2020,0
Coho,Hatchery,nan,1997,205
Coho,Hatchery,nan,1998,104
Coho,Hatchery,nan,1999,0
Coho,Hatchery,nan,2000,0
Coho,Hatchery,nan,2001,0
Coho,Hatchery,nan,2002,0
Coho,Hatchery,nan,2003,0
Coho,Hatchery,nan,2004,0
Coho,Hatchery,nan,2005,0
Coho,Hatchery,nan,2006,0
Coho,Hatchery,nan,2007,0
Coho,Hatchery,nan,2008,0
Coho,Hatchery,nan,2009,0
Coho,Hatchery,nan,2010,0
Coho,Hatchery,nan,2011,0
Coho,Hatchery,nan,2012,34
Coho,Hatchery,nan,2013,76
Coho,Hatchery,nan,2014,81
Coho,Hatchery,nan,2015,14
Coho,Hatchery,nan,2016,0
Coho,Hatchery,nan,2017,11
Coho,Hatchery,nan,2018,0
Coho,Hatchery,nan,2019,0
Coho,Hatchery,nan,2020,0
Chum,Hatchery,nan,1997,6880
Chum,Hatchery,nan,1998,24887
Chum,Hatchery,nan,1999,0
Chum,Hatchery,nan,2000,0
Chum,Hatchery,nan,2001,0
Chum,Hatchery,nan,2002,0
Chum,Hatchery,nan,2003,0
Chum,Hatchery,nan,2004,0
Chum,Hatchery,nan,2005,0
Chum,Hatchery,nan,2006,0
Chum,Hatchery,nan,2007,0
Chum,Hatchery,nan,2008,0
Chum,Hatchery,nan,2009,0
Chum,Hatchery,nan,2010,0
Chum,Hatchery,nan,2011,0
Chum,Hatchery,nan,2012,3051
Chum,Hatchery,nan,2013,8471
Chum,Hatchery,nan,2014,11214
Chum,Hatchery,nan,2015,13048
Chum,Hatchery,nan,2016,0
Chum,Hatchery,nan,2017,1379
Chum,Hatchery,nan,2018,190
Chum,Hatchery,nan,2019,0
Chum,Hatchery,nan,2020,0
