Species,Origin,Run,Year,Count
Chinook,Wild,Fall,1997,0
Chinook,Wild,Fall,1998,0
Chinook,Wild,Fall,1999,0
Chinook,Wild,Fall,2000,0
Chinook,Wild,Fall,2001,0
Chinook,Wild,Fall,2002,0
Chinook,Wild,Fall,2003,0
Chinook,Wild,Fall,2004,0
Chinook,Wild,Fall,2005,0
Chinook,Wild,Fall,2006,0
Chinook,Wild,Fall,2007,0
Chinook,Wild,Fall,2008,0
Chinook,Wild,Fall,2009,0
Chinook,Wild,Fall,2010,0
Chinook,Wild,Fall,2011,365
Chinook,Wild,Fall,2012,552
Chinook,Wild,Fall,2013,180
Chinook,Wild,Fall,2014,304
Chinook,Wild,Fall,2015,876
Chinook,Wild,Fall,2016,501
Chinook,Wild,Fall,2017,799
Chinook,Wild,Fall,2018,489
Chinook,Wild,Fall,2019,194
Chinook,Wild,Fall,2020,647
Chinook,Hatchery,Fall,1997,3138
Chinook,Hatchery,Fall,1998,1423
Chinook,Hatchery,Fall,1999,24
Chinook,Hatchery,Fall,2000,0
Chinook,Hatchery,Fall,2001,0
Chinook,Hatchery,Fall,2002,2902
Chinook,Hatchery,Fall,2003,955
Chinook,Hatchery,Fall,2004,1663
Chinook,Hatchery,Fall,2005,1300
Chinook,Hatchery,Fall,2006,2408
Chinook,Hatchery,Fall,2007,1350
Chinook,Hatchery,Fall,2008,920
Chinook,Hatchery,Fall,2009,400
Chinook,Hatchery,Fall,2010,691
Chinook,Hatchery,Fall,2011,4610
Chinook,Hatchery,Fall,2012,4186
Chinook,Hatchery,Fall,2013,3359
Chinook,Hatchery,Fall,2014,2636
Chinook,Hatchery,Fall,2015,4844
Chinook,Hatchery,Fall,2016,2018
Chinook,Hatchery,Fall,2017,3280
Chinook,Hatchery,Fall,2018,2927
Chinook,Hatchery,Fall,2019,2512
Chinook,Hatchery,Fall,2020,6680
Steelhead,Hatchery,Winter,1997,4
Steelhead,Hatchery,Winter,1998,38
Steelhead,Hatchery,Winter,1999,34
Steelhead,Hatchery,Winter,2000,18
Steelhead,Hatchery,Winter,2001,18
Steelhead,Hatchery,Winter,2002,25
Steelhead,Hatchery,Winter,2003,35
Steelhead,Hatchery,Winter,2004,9
Steelhead,Hatchery,Winter,2005,0
Steelhead,Hatchery,Winter,2006,0
Steelhead,Hatchery,Winter,2007,0
Steelhead,Hatchery,Winter,2008,0
Steelhead,Hatchery,Winter,2009,0
Steelhead,Hatchery,Winter,2010,34
Steelhead,Hatchery,Winter,2011,0
Steelhead,Hatchery,Winter,2012,15
Steelhead,Hatchery,Winter,2013,86
Steelhead,Hatchery,Winter,2014,437
Steelhead,Hatchery,Winter,2015,848
Steelhead,Hatchery,Winter,2016,804
Steelhead,Hatchery,Winter,2017,243
Steelhead,Hatchery,Winter,2018,133
Steelhead,Hatchery,Winter,2019,53
Steelhead,Hatchery,Winter,2020,303
Coho,Wild,nan,1997,0
Coho,Wild,nan,1998,0
Coho,Wild,nan,1999,0
Coho,Wild,nan,2000,0
Coho,Wild,nan,2001,0
Coho,Wild,nan,2002,0
Coho,Wild,nan,2003,0
Coho,Wild,nan,2004,0
Coho,Wild,nan,2005,0
Coho,Wild,nan,2006,0
Coho,Wild,nan,2007,0
Coho,Wild,nan,2008,0
Coho,Wild,nan,2009,0
Coho,Wild,nan,2010,0
Coho,Wild,nan,2011,45
Coho,Wild,nan,2012,54
Coho,Wild,nan,2013,127
Coho,Wild,nan,2014,72
Coho,Wild,nan,2015,260
Coho,Wild,nan,2016,281
Coho,Wild,nan,2017,83
Coho,Wild,nan,2018,127
Coho,Wild,nan,2019,301
Coho,Wild,nan,2020,179
Coho,Wild,Late,1997,0
Coho,Wild,Late,1998,0
Coho,Wild,Late,1999,0
Coho,Wild,Late,2000,0
Coho,Wild,Late,2001,0
Coho,Wild,Late,2002,0
Coho,Wild,Late,2003,0
Coho,Wild,Late,2004,0
Coho,Wild,Late,2005,0
Coho,Wild,Late,2006,0
Coho,Wild,Late,2007,0
Coho,Wild,Late,2008,0
Coho,Wild,Late,2009,0
Coho,Wild,Late,2010,0
Coho,Wild,Late,2011,0
Coho,Wild,Late,2012,8
Coho,Wild,Late,2013,13
Coho,Wild,Late,2014,17
Coho,Wild,Late,2015,25
Coho,Wild,Late,2016,97
Coho,Wild,Late,2017,42
Coho,Wild,Late,2018,72
Coho,Wild,Late,2019,27
Coho,Wild,Late,2020,15
Coho,Hatchery,nan,1997,1455
Coho,Hatchery,nan,1998,1064
Coho,Hatchery,nan,1999,96
Coho,Hatchery,nan,2000,0
Coho,Hatchery,nan,2001,0
Coho,Hatchery,nan,2002,17586
Coho,Hatchery,nan,2003,33600
Coho,Hatchery,nan,2004,475
Coho,Hatchery,nan,2005,1200
Coho,Hatchery,nan,2006,200
Coho,Hatchery,nan,2007,120
Coho,Hatchery,nan,2008,0
Coho,Hatchery,nan,2009,1050
Coho,Hatchery,nan,2010,2483
Coho,Hatchery,nan,2011,10817
Coho,Hatchery,nan,2012,9234
Coho,Hatchery,nan,2013,7371
Coho,Hatchery,nan,2014,45431
Coho,Hatchery,nan,2015,7286
Coho,Hatchery,nan,2016,10284
Coho,Hatchery,nan,2017,1477
Coho,Hatchery,nan,2018,5303
Coho,Hatchery,nan,2019,9556
Coho,Hatchery,nan,2020,22031
Coho,Hatchery,Late,1997,17
Coho,Hatchery,Late,1998,58
Coho,Hatchery,Late,1999,57
Coho,Hatchery,Late,2000,80
Coho,Hatchery,Late,2001,169
Coho,Hatchery,Late,2002,130
Coho,Hatchery,Late,2003,154
Coho,Hatchery,Late,2004,0
Coho,Hatchery,Late,2005,0
Coho,Hatchery,Late,2006,0
Coho,Hatchery,Late,2007,0
Coho,Hatchery,Late,2008,0
Coho,Hatchery,Late,2009,70
Coho,Hatchery,Late,2010,46
Coho,Hatchery,Late,2011,115
Coho,Hatchery,Late,2012,512
Coho,Hatchery,Late,2013,597
Coho,Hatchery,Late,2014,2301
Coho,Hatchery,Late,2015,1690
Coho,Hatchery,Late,2016,863
Coho,Hatchery,Late,2017,191
Coho,Hatchery,Late,2018,423
Coho,Hatchery,Late,2019,626
Coho,Hatchery,Late,2020,743
Chum,Wild,nan,1997,0
Chum,Wild,nan,1998,0
Chum,Wild,nan,1999,112
Chum,Wild,nan,2000,0
Chum,Wild,nan,2001,0
Chum,Wild,nan,2002,0
Chum,Wild,nan,2003,0
Chum,Wild,nan,2004,0
Chum,Wild,nan,2005,0
Chum,Wild,nan,2006,33
Chum,Wild,nan,2007,0
Chum,Wild,nan,2008,0
Chum,Wild,nan,2009,0
Chum,Wild,nan,2010,0
Chum,Wild,nan,2011,207
Chum,Wild,nan,2012,277
Chum,Wild,nan,2013,374
Chum,Wild,nan,2014,349
Chum,Wild,nan,2015,500
Chum,Wild,nan,2016,0
Chum,Wild,nan,2017,0
Chum,Wild,nan,2018,0
Chum,Wild,nan,2019,0
Chum,Wild,nan,2020,0
Chum,Unknown,nan,1997,0
Chum,Unknown,nan,1998,0
Chum,Unknown,nan,1999,0
Chum,Unknown,nan,2000,0
Chum,Unknown,nan,2001,0
Chum,Unknown,nan,2002,0
Chum,Unknown,nan,2003,0
Chum,Unknown,nan,2004,0
Chum,Unknown,nan,2005,0
Chum,Unknown,nan,2006,0
Chum,Unknown,nan,2007,0
Chum,Unknown,nan,2008,0
Chum,Unknown,nan,2009,0
Chum,Unknown,nan,2010,0
Chum,Unknown,nan,2011,0
Chum,Unknown,nan,2012,0
Chum,Unknown,nan,2013,0
Chum,Unknown,nan,2014,0
Chum,Unknown,nan,2015,0
Chum,Unknown,nan,2016,664
Chum,Unknown,nan,2017,1097
Chum,Unknown,nan,2018,1025
Chum,Unknown,nan,2019,852
Chum,Unknown,nan,2020,799
