Species,Origin,Run,Year,Count
Chinook,Wild,Fall,1997,0
Chinook,Wild,Fall,1998,0
Chinook,Wild,Fall,1999,0
Chinook,Wild,Fall,2000,0
Chinook,Wild,Fall,2001,78
Chinook,Wild,Fall,2002,88
Chinook,Wild,Fall,2003,71
Chinook,Wild,Fall,2004,26
Chinook,Wild,Fall,2005,19
Chinook,Wild,Fall,2006,32
Chinook,Wild,Fall,2007,17
Chinook,Wild,Fall,2008,7
Chinook,Wild,Fall,2009,9
Chinook,Wild,Fall,2010,5
Chinook,Wild,Fall,2011,12
Chinook,Wild,Fall,2012,14
Chinook,Wild,Fall,2013,6
Chinook,Wild,Fall,2014,4
Chinook,Wild,Fall,2015,18
Chinook,Wild,Fall,2016,0
Chinook,Wild,Fall,2017,86
Chinook,Wild,Fall,2018,51
Chinook,Wild,Fall,2019,29
Chinook,Wild,Fall,2020,18
Chinook,Hatchery,Fall,1997,0
Chinook,Hatchery,Fall,1998,0
Chinook,Hatchery,Fall,1999,0
Chinook,Hatchery,Fall,2000,90
Chinook,Hatchery,Fall,2001,68
Chinook,Hatchery,Fall,2002,33
Chinook,Hatchery,Fall,2003,36
Chinook,Hatchery,Fall,2004,5
Chinook,Hatchery,Fall,2005,23
Chinook,Hatchery,Fall,2006,2
Chinook,Hatchery,Fall,2007,16
Chinook,Hatchery,Fall,2008,7
Chinook,Hatchery,Fall,2009,36
Chinook,Hatchery,Fall,2010,4
Chinook,Hatchery,Fall,2011,66
Chinook,Hatchery,Fall,2012,79
Chinook,Hatchery,Fall,2013,24
Chinook,Hatchery,Fall,2014,11
Chinook,Hatchery,Fall,2015,60
Chinook,Hatchery,Fall,2016,0
Chinook,Hatchery,Fall,2017,55
Chinook,Hatchery,Fall,2018,51
Chinook,Hatchery,Fall,2019,22
Chinook,Hatchery,Fall,2020,9
Steelhead,Hatchery,Summer,1997,12
Steelhead,Hatchery,Summer,1998,316
Steelhead,Hatchery,Summer,1999,185
Steelhead,Hatchery,Summer,2000,212
Steelhead,Hatchery,Summer,2001,202
Steelhead,Hatchery,Summer,2002,106
Steelhead,Hatchery,Summer,2003,175
Steelhead,Hatchery,Summer,2004,222
Steelhead,Hatchery,Summer,2005,129
Steelhead,Hatchery,Summer,2006,153
Steelhead,Hatchery,Summer,2007,65
Steelhead,Hatchery,Summer,2008,1
Steelhead,Hatchery,Summer,2009,2
Steelhead,Hatchery,Summer,2010,5
Steelhead,Hatchery,Summer,2011,1
Steelhead,Hatchery,Summer,2012,1
Steelhead,Hatchery,Summer,2013,0
Steelhead,Hatchery,Summer,2014,0
Steelhead,Hatchery,Summer,2015,0
Steelhead,Hatchery,Summer,2016,0
Steelhead,Hatchery,Summer,2017,1
Steelhead,Hatchery,Summer,2018,1
Steelhead,Hatchery,Summer,2019,0
Steelhead,Hatchery,Summer,2020,0
Steelhead,Hatchery,Winter,1997,27
Steelhead,Hatchery,Winter,1998,850
Steelhead,Hatchery,Winter,1999,307
Steelhead,Hatchery,Winter,2000,478
Steelhead,Hatchery,Winter,2001,754
Steelhead,Hatchery,Winter,2002,811
Steelhead,Hatchery,Winter,2003,418
Steelhead,Hatchery,Winter,2004,1263
Steelhead,Hatchery,Winter,2005,665
Steelhead,Hatchery,Winter,2006,966
Steelhead,Hatchery,Winter,2007,755
Steelhead,Hatchery,Winter,2008,404
Steelhead,Hatchery,Winter,2009,351
Steelhead,Hatchery,Winter,2010,681
Steelhead,Hatchery,Winter,2011,679
Steelhead,Hatchery,Winter,2012,804
Steelhead,Hatchery,Winter,2013,580
Steelhead,Hatchery,Winter,2014,563
Steelhead,Hatchery,Winter,2015,373
Steelhead,Hatchery,Winter,2016,88
Steelhead,Hatchery,Winter,2017,266
Steelhead,Hatchery,Winter,2018,201
Steelhead,Hatchery,Winter,2019,54
Steelhead,Hatchery,Winter,2020,97
