Species,Origin,Run,Year,Count
Steelhead,Wild,Summer,1997,0
Steelhead,Wild,Summer,1998,0
Steelhead,Wild,Summer,1999,0
Steelhead,Wild,Summer,2000,0
Steelhead,Wild,Summer,2001,0
Steelhead,Wild,Summer,2002,0
Steelhead,Wild,Summer,2003,120
Steelhead,Wild,Summer,2004,97
Steelhead,Wild,Summer,2005,86
Steelhead,Wild,Summer,2006,163
Steelhead,Wild,Summer,2007,0
Steelhead,Wild,Summer,2008,120
Steelhead,Wild,Summer,2009,0
Steelhead,Wild,Summer,2010,611
Steelhead,Wild,Summer,2011,305
Steelhead,Wild,Summer,2012,32
Steelhead,Wild,Summer,2013,190
Steelhead,Wild,Summer,2014,0
Steelhead,Wild,Summer,2015,0
Steelhead,Wild,Summer,2016,0
Steelhead,Wild,Summer,2017,0
Steelhead,Wild,Summer,2018,0
Steelhead,Wild,Summer,2019,0
Steelhead,Wild,Summer,2020,0
Steelhead,Hatchery,Summer,1997,0
Steelhead,Hatchery,Summer,1998,0
Steelhead,Hatchery,Summer,1999,0
Steelhead,Hatchery,Summer,2000,0
Steelhead,Hatchery,Summer,2001,0
Steelhead,Hatchery,Summer,2002,0
Steelhead,Hatchery,Summer,2003,12
Steelhead,Hatchery,Summer,2004,64
Steelhead,Hatchery,Summer,2005,37
Steelhead,Hatchery,Summer,2006,49
Steelhead,Hatchery,Summer,2007,55
Steelhead,Hatchery,Summer,2008,26
Steelhead,Hatchery,Summer,2009,69
Steelhead,Hatchery,Summer,2010,248
Steelhead,Hatchery,Summer,2011,87
Steelhead,Hatchery,Summer,2012,2
Steelhead,Hatchery,Summer,2013,104
Steelhead,Hatchery,Summer,2014,0
Steelhead,Hatchery,Summer,2015,8
Steelhead,Hatchery,Summer,2016,0
Steelhead,Hatchery,Summer,2017,0
Steelhead,Hatchery,Summer,2018,0
Steelhead,Hatchery,Summer,2019,0
Steelhead,Hatchery,Summer,2020,0
