Species,Origin,Run,Year,Count
Chinook,Wild,Spring,1997,0
Chinook,Wild,Spring,1998,0
Chinook,Wild,Spring,1999,0
Chinook,Wild,Spring,2000,0
Chinook,Wild,Spring,2001,0
Chinook,Wild,Spring,2002,132
Chinook,Wild,Spring,2003,214
Chinook,Wild,Spring,2004,284
Chinook,Wild,Spring,2005,405
Chinook,Wild,Spring,2006,148
Chinook,Wild,Spring,2007,44
Chinook,Wild,Spring,2008,78
Chinook,Wild,Spring,2009,98
Chinook,Wild,Spring,2010,54
Chinook,Wild,Spring,2011,172
Chinook,Wild,Spring,2012,81
Chinook,Wild,Spring,2013,112
Chinook,Wild,Spring,2014,56
Chinook,Wild,Spring,2015,31
Chinook,Wild,Spring,2016,28
Chinook,Wild,Spring,2017,56
Chinook,Wild,Spring,2018,61
Chinook,Wild,Spring,2019,50
Chinook,Wild,Spring,2020,91
Chinook,Wild,Fall,1997,0
Chinook,Wild,Fall,1998,0
Chinook,Wild,Fall,1999,0
Chinook,Wild,Fall,2000,0
Chinook,Wild,Fall,2001,0
Chinook,Wild,Fall,2002,0
Chinook,Wild,Fall,2003,0
Chinook,Wild,Fall,2004,0
Chinook,Wild,Fall,2005,0
Chinook,Wild,Fall,2006,0
Chinook,Wild,Fall,2007,0
Chinook,Wild,Fall,2008,0
Chinook,Wild,Fall,2009,0
Chinook,Wild,Fall,2010,229
Chinook,Wild,Fall,2011,248
Chinook,Wild,Fall,2012,78
Chinook,Wild,Fall,2013,336
Chinook,Wild,Fall,2014,461
Chinook,Wild,Fall,2015,424
Chinook,Wild,Fall,2016,204
Chinook,Wild,Fall,2017,190
Chinook,Wild,Fall,2018,537
Chinook,Wild,Fall,2019,640
Chinook,Wild,Fall,2020,918
Chinook,Hatchery,Spring,1997,375
Chinook,Hatchery,Spring,1998,364
Chinook,Hatchery,Spring,1999,754
Chinook,Hatchery,Spring,2000,988
Chinook,Hatchery,Spring,2001,834
Chinook,Hatchery,Spring,2002,1341
Chinook,Hatchery,Spring,2003,3667
Chinook,Hatchery,Spring,2004,3376
Chinook,Hatchery,Spring,2005,2735
Chinook,Hatchery,Spring,2006,4242
Chinook,Hatchery,Spring,2007,4729
Chinook,Hatchery,Spring,2008,940
Chinook,Hatchery,Spring,2009,170
Chinook,Hatchery,Spring,2010,525
Chinook,Hatchery,Spring,2011,282
Chinook,Hatchery,Spring,2012,285
Chinook,Hatchery,Spring,2013,855
Chinook,Hatchery,Spring,2014,858
Chinook,Hatchery,Spring,2015,2648
Chinook,Hatchery,Spring,2016,2838
