Run,Year,Count
Wild Fall Chinook,1997,40
Wild Fall Chinook,1998,159
Wild Fall Chinook,1999,0
Wild Fall Chinook,2000,0
Wild Fall Chinook,2001,0
Wild Fall Chinook,2002,0
Wild Fall Chinook,2003,0
Wild Fall Chinook,2004,285
Wild Fall Chinook,2005,0
Wild Fall Chinook,2006,0
Wild Fall Chinook,2007,0
Wild Fall Chinook,2008,0
Wild Fall Chinook,2009,0
Wild Fall Chinook,2010,0
Wild Fall Chinook,2011,0
Wild Fall Chinook,2012,0
Wild Fall Chinook,2013,0
Wild Fall Chinook,2014,0
Wild Fall Chinook,2015,0
Wild Fall Chinook,2016,0
Wild Fall Chinook,2017,32
Wild Fall Chinook,2018,46
Wild Fall Chinook,2019,0
Wild Fall Chinook,2020,0
Hatchery Coho,1997,2081
Hatchery Coho,1998,400
Hatchery Coho,1999,0
Hatchery Coho,2000,0
Hatchery Coho,2001,0
Hatchery Coho,2002,0
Hatchery Coho,2003,0
Hatchery Coho,2004,2018
Hatchery Coho,2005,791
Hatchery Coho,2006,371
Hatchery Coho,2007,625
Hatchery Coho,2008,237
Hatchery Coho,2009,3615
Hatchery Coho,2010,11705
Hatchery Coho,2011,1480
Hatchery Coho,2012,2314
Hatchery Coho,2013,2125
Hatchery Coho,2014,9730
Hatchery Coho,2015,2195
Hatchery Coho,2016,8088
Hatchery Coho,2017,1453
Hatchery Coho,2018,200
Hatchery Coho,2019,0
Hatchery Coho,2020,0
Wild Chum,1997,0
Wild Chum,1998,0
Wild Chum,1999,0
Wild Chum,2000,0
Wild Chum,2001,0
Wild Chum,2002,0
Wild Chum,2003,0
Wild Chum,2004,217
Wild Chum,2005,282
Wild Chum,2006,336
Wild Chum,2007,238
Wild Chum,2008,0
Wild Chum,2009,0
Wild Chum,2010,0
Wild Chum,2011,0
Wild Chum,2012,0
Wild Chum,2013,0
Wild Chum,2014,0
Wild Chum,2015,596
Wild Chum,2016,0
Wild Chum,2017,0
Wild Chum,2018,0
Wild Chum,2019,0
Wild Chum,2020,0
Hatchery Chum,1997,0
Hatchery Chum,1998,0
Hatchery Chum,1999,0
Hatchery Chum,2000,0
Hatchery Chum,2001,0
Hatchery Chum,2002,0
Hatchery Chum,2003,0
Hatchery Chum,2004,0
Hatchery Chum,2005,0
Hatchery Chum,2006,0
Hatchery Chum,2007,0
Hatchery Chum,2008,0
Hatchery Chum,2009,0
Hatchery Chum,2010,0
Hatchery Chum,2011,0
Hatchery Chum,2012,1278
Hatchery Chum,2013,584
Hatchery Chum,2014,475
Hatchery Chum,2015,0
Hatchery Chum,2016,1373
Hatchery Chum,2017,534
Hatchery Chum,2018,290
Hatchery Chum,2019,0
Hatchery Chum,2020,0
